paper_id,artifact_type,artifact_path,artifact_sha256,subject_type,artifact_eligible,quality,source_map_version,extraction_contract_version,status
CUMCM-1996-B-003,metadata.yaml,derived/scale/papers/CUMCM-1996-B-003/metadata.yaml,2A06CDABCA76F8D15FC639A2F4ACD38A4BDB8F81B3FC418937F6605E4B982231,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1996-B-003,paper.md,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-A-008,knowledge_card.md,derived/scale/papers/CUMCM-1997-A-008/knowledge_card.md,659816B33678CDE1DAA547E28B4F852C60806C840B97BC1C50422ED841542463,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-A-008,metadata.yaml,derived/scale/papers/CUMCM-1997-A-008/metadata.yaml,A454BA4E5ACF8B22601987B069178023F8A8024C99EA479593EBDA2F690883A4,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-A-008,paper.md,derived/scale/papers/CUMCM-1997-A-008/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-A-009,knowledge_card.md,derived/scale/papers/CUMCM-1997-A-009/knowledge_card.md,322B3D882689646F06E4953E0EFBAE6197DBF1BE075EAE76429D9341AFDCDD6C,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-A-009,metadata.yaml,derived/scale/papers/CUMCM-1997-A-009/metadata.yaml,62F66090FE77986ED17BEC0E33A6E40FD34DABD561FF05FD6D821B9DF09777B9,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-A-009,paper.md,derived/scale/papers/CUMCM-1997-A-009/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-B-004,knowledge_card.md,derived/scale/papers/CUMCM-1997-B-004/knowledge_card.md,761508BF2E7C3A74D60EF139C11B4D4AA0C4AD9C794A67258C1192BFACDF92B2,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-B-004,metadata.yaml,derived/scale/papers/CUMCM-1997-B-004/metadata.yaml,22520813361D3AA686E2C28C770B63DB74EDF74750AD4746EE7A6524B3B058B2,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-B-004,paper.md,derived/scale/papers/CUMCM-1997-B-004/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-B-007,knowledge_card.md,derived/scale/papers/CUMCM-1997-B-007/knowledge_card.md,7C4DB6B62E2E3CEBBE8058EDC7A1E2D76E74F3D2E5C4D1ACE1B941EB77A42A4E,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-B-007,metadata.yaml,derived/scale/papers/CUMCM-1997-B-007/metadata.yaml,E15FE9026FDC97197CFDF081121F3AF937DAB610FFFF816048DBB017DF97CAE6,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1997-B-007,paper.md,derived/scale/papers/CUMCM-1997-B-007/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-001,knowledge_card.md,derived/scale/papers/CUMCM-1998-A-001/knowledge_card.md,03E378ABFD26572CEEAB3983E7EB0A1DC18ACC764CBFD41030DB870EBF97DE80,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-001,metadata.yaml,derived/scale/papers/CUMCM-1998-A-001/metadata.yaml,048578CE384E328507C22FA67AA712811355EE98EBD9DA53C7111A8F987BB936,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-001,paper.md,derived/scale/papers/CUMCM-1998-A-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-005,knowledge_card.md,derived/scale/papers/CUMCM-1998-A-005/knowledge_card.md,FA15AD6E33A8806E5913588B69AB486659936B9E9EDBC85B04174C16523574F4,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-005,metadata.yaml,derived/scale/papers/CUMCM-1998-A-005/metadata.yaml,D48B85541435F4EF9700DD9170EF2C754D79B7419FC5F1F3F36BFD0A97CE8608,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-005,paper.md,derived/scale/papers/CUMCM-1998-A-005/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-007,knowledge_card.md,derived/scale/papers/CUMCM-1998-A-007/knowledge_card.md,FCF2ACC52F294DD1541E2A674F01A86E3F440AD4E48CE652754EB7D987E17128,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-007,metadata.yaml,derived/scale/papers/CUMCM-1998-A-007/metadata.yaml,2051DDDD8F24CF4B5F6972C5ABD6C28694488E2F8AF25B84065EB46C9F8E2242,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-007,paper.md,derived/scale/papers/CUMCM-1998-A-007/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-008,knowledge_card.md,derived/scale/papers/CUMCM-1998-A-008/knowledge_card.md,6640E38AA648E19AB5F6A5B2B0E31D9C1E953018EBF1E63D41B35BED3CBB23C2,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-008,metadata.yaml,derived/scale/papers/CUMCM-1998-A-008/metadata.yaml,6A15C790D0C89CA55E68BD6CC38F7CD8413C3CE597A19CAD74175CC5E5F63341,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-A-008,paper.md,derived/scale/papers/CUMCM-1998-A-008/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-001,knowledge_card.md,derived/scale/papers/CUMCM-1998-B-001/knowledge_card.md,3C9CC2BEAF21C98A3956E29EACD80BEF48BCC5AD6E0472566E4763A1CAC3E915,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-001,metadata.yaml,derived/scale/papers/CUMCM-1998-B-001/metadata.yaml,02F2F375C48EDFBC8CE8B1F29381EC609CD2D56410C4BCC6C6851BF98CFD8DAC,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-001,paper.md,derived/scale/papers/CUMCM-1998-B-001/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-002,knowledge_card.md,derived/scale/papers/CUMCM-1998-B-002/knowledge_card.md,AF87601A37D68E7452D1A8B641B8299A9FC95358C639980FE25904A1A1E68BDB,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-002,metadata.yaml,derived/scale/papers/CUMCM-1998-B-002/metadata.yaml,B1CB439FE5CFE23C5854F701CF13E8D7B7E03D9C9850E43101ECFBDEC0A905FD,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-002,paper.md,derived/scale/papers/CUMCM-1998-B-002/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-003,knowledge_card.md,derived/scale/papers/CUMCM-1998-B-003/knowledge_card.md,9D6626C93A4D6F199168F67ABB8C2C723B06724325E8778BA237BCD4D7653A6A,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-003,metadata.yaml,derived/scale/papers/CUMCM-1998-B-003/metadata.yaml,5B87869AA534EBE33A985C6DBD85E6F7F2AE7CDCA2159E1DD558563F0D3D7659,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-003,paper.md,derived/scale/papers/CUMCM-1998-B-003/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-004,knowledge_card.md,derived/scale/papers/CUMCM-1998-B-004/knowledge_card.md,CB3F8C91CFC85F20ACA647E36B52B00CD9B725FB2EFC65F9E5ABCFA3EE0D6869,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-004,metadata.yaml,derived/scale/papers/CUMCM-1998-B-004/metadata.yaml,E988437BC9B604EC859E302A76AFEAC8E895AC994EF63E4A5DAD414EE234A059,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-004,paper.md,derived/scale/papers/CUMCM-1998-B-004/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-005,knowledge_card.md,derived/scale/papers/CUMCM-1998-B-005/knowledge_card.md,5E7D71B08F9F36C003517FE8B67CAD82B74CB53A9981DBC2F56AC9427AADBA3E,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-005,metadata.yaml,derived/scale/papers/CUMCM-1998-B-005/metadata.yaml,214096323BCC5DBCD932D72C847AB84DD0ACE3E52B8738CBFDE1E12B553714D5,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-005,paper.md,derived/scale/papers/CUMCM-1998-B-005/paper.md,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-006,knowledge_card.md,derived/scale/papers/CUMCM-1998-B-006/knowledge_card.md,04D89491A6E2A388823FD929653B115645C3BD1A0DED17E7F686D061A4267D7D,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-006,metadata.yaml,derived/scale/papers/CUMCM-1998-B-006/metadata.yaml,BD0FBCFA5F14FB94C9A25C353D31592B01B081BFFD6BD93DA866B409DCA13BA2,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1998-B-006,paper.md,derived/scale/papers/CUMCM-1998-B-006/paper.md,6D45B274DAC003D8F877953199BDDA67DE1BB71644F115208DB1E8E34A9CB7C2,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-001,knowledge_card.md,derived/scale/papers/CUMCM-1999-A-001/knowledge_card.md,5AB544B3596AA16F051100E16B41FF3060E4E3BDECC5F72575986E71FC8F32D2,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-001,metadata.yaml,derived/scale/papers/CUMCM-1999-A-001/metadata.yaml,6B1AF5C9C1279F1A9825A3B2A13FF83F557A4D3B59EE0110CF219989FB4EF0C6,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-001,paper.md,derived/scale/papers/CUMCM-1999-A-001/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-002,knowledge_card.md,derived/scale/papers/CUMCM-1999-A-002/knowledge_card.md,92C70E0E4FF621859423D524DBE21D75D9911F91B80A0E90040EE7240BD6FCD1,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-002,metadata.yaml,derived/scale/papers/CUMCM-1999-A-002/metadata.yaml,13924F1A56CFFE573CE4EDAE7677232169EFF7DD316E9816DBF5BCB11C50B6E0,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-002,paper.md,derived/scale/papers/CUMCM-1999-A-002/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-003,knowledge_card.md,derived/scale/papers/CUMCM-1999-A-003/knowledge_card.md,3B06B8E459504CE20C1DE90CEA0CACF0D47271F2435F786DDCBAC89FB6A604EA,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-003,metadata.yaml,derived/scale/papers/CUMCM-1999-A-003/metadata.yaml,005A0B615AEEA629A057A340EBFD51FAF11CA0728E1D0DEF1B691C0B31A8431F,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-003,paper.md,derived/scale/papers/CUMCM-1999-A-003/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-004,knowledge_card.md,derived/scale/papers/CUMCM-1999-A-004/knowledge_card.md,78CB90FFA1BD466A742B5D5172FCC5BF1E663446C27C69F49CAC7C71D606617F,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-004,metadata.yaml,derived/scale/papers/CUMCM-1999-A-004/metadata.yaml,8DF7F4A4F72D16AD563D148ACEC7AA5C008DF88071B62568D4CBA30CBC95460F,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
