paper_id,attempt,logical_page_number,page_class,text_layer_present,ocr_route_required,text_chars,text_sha256,rendered_for_classification,nonwhite_ratio
CUMCM-2014-D-003,PRIMARY,33,TEXT_PAGE,1,0,677,4F5795571A8FDB4A5FBFDA9CF37845B263723A583CB8DAD50BA60C8F69240D5A,0,
CUMCM-2014-D-003,VALIDATION,1,TEXT_PAGE,1,0,666,44888210C93CBB472A9A6D0A564689AC7DCFE8C4289DA92B54CFAA087E77BB01,0,
CUMCM-2014-D-003,VALIDATION,2,TEXT_PAGE,1,0,132,A7DDB666F0BCEF3D9B1F629F351011DF1EF4942678A3A90067E11339E073EEC1,0,
CUMCM-2014-D-003,VALIDATION,3,TEXT_PAGE,1,0,743,F774AC79891EF63DCFB122123EB40130132931BB93F0C31854A83E5CB2F2BCCF,0,
CUMCM-2014-D-003,VALIDATION,4,TEXT_PAGE,1,0,685,38B1E263E8429B3AA65EE161FC00B63A2282614613D1402BDABBE1587A20AC22,0,
CUMCM-2014-D-003,VALIDATION,5,TEXT_PAGE,1,0,360,8C658AA973DDE23EB0F590C3B12E4A9ECB7600E154B97301009E815F0F5A043E,0,
CUMCM-2014-D-003,VALIDATION,6,TEXT_PAGE,1,0,671,6E9921C22686A93207D40B227B5415942F8455DCCC3331AF8F1673BD6C4EA0B4,0,
CUMCM-2014-D-003,VALIDATION,7,TEXT_PAGE,1,0,412,27F1F8B429C3F192C0919AE4A70010F76ECCECFFA3E68D0507C3E9BB0D8794DC,0,
CUMCM-2014-D-003,VALIDATION,8,TEXT_PAGE,1,0,657,1B46D99898D74694B680CF2939DF85FE84BE2F31E164E6F9509175FEA52D4D20,0,
CUMCM-2014-D-003,VALIDATION,9,TEXT_PAGE,1,0,862,10272237B0ADC0C9478DDA4D950BF8A4CB138B451AA11DE31A06174C096B7991,0,
CUMCM-2014-D-003,VALIDATION,10,TEXT_PAGE,1,0,604,33E98A105E08B3850AD8CD6BBEEC121B3B095865DAD9920136D2484257C06C04,0,
CUMCM-2014-D-003,VALIDATION,11,TEXT_PAGE,1,0,792,FFF3780FB03F8C0F031E937E6E7A811EE40E63A6FF6ED196412A6386D219E442,0,
CUMCM-2014-D-003,VALIDATION,12,TEXT_PAGE,1,0,678,6D383F3999A0718DD300639CC2B3A895C9730E562C1A6648099829526ACA07B5,0,
CUMCM-2014-D-003,VALIDATION,13,TEXT_PAGE,1,0,1381,67BF2E6B756AD49F1A4730E409822567936306BA7040DB53C6BBDCF629590FFC,0,
