paper_id,attempt,page_count,extraction_status,normalized_text_chars,normalized_text_sha256,ocr_required_pages,ocr_completed_pages,ocr_failed_pages
CUMCM-2014-D-003,PRIMARY,33,PASS,30734,7FECDE86AD4CA50CDA49759F11FAAE9F38A1CCB3F400194489230861AE1A6C89,0,0,0
CUMCM-2014-D-003,VALIDATION,33,PASS,30734,7FECDE86AD4CA50CDA49759F11FAAE9F38A1CCB3F400194489230861AE1A6C89,0,0,0
