body_text_quality,ending_plausible,middle_continuity,opening_plausible,page_order_monotonic,page_text_quality_pass,paper_id,pass,structural_only,suspicious_adjacent_duplicate
"{'text_chars': 2663, 'replacement_char_count': 0, 'replacement_char_ratio': 0.0, 'replacement_run_count': 0, 'max_replacement_run_length': 0, 'control_char_count': 0, 'control_char_ratio': 0.0, 'printable_char_count': 2663, 'printable_char_ratio': 1.0, 'cjk_char_count': 1167, 'latin_char_count': 185, 'digit_count': 43, 'alphanumeric_cjk_ratio': 0.5238452872699962, 'image_placeholder_count': 0, 'image_placeholder_char_ratio': 0.0, 'unique_non_whitespace_char_count': 486, 'unique_char_ratio': 0.31476683937823835, 'long_repeated_symbol_run_count': 0, 'quality_status': 'USABLE', 'pass': True}",True,True,True,True,True,CUMCM-1993-B-003,True,True,False
"{'text_chars': 2910, 'replacement_char_count': 0, 'replacement_char_ratio': 0.0, 'replacement_run_count': 0, 'max_replacement_run_length': 0, 'control_char_count': 0, 'control_char_ratio': 0.0, 'printable_char_count': 2910, 'printable_char_ratio': 1.0, 'cjk_char_count': 1264, 'latin_char_count': 178, 'digit_count': 86, 'alphanumeric_cjk_ratio': 0.525085910652921, 'image_placeholder_count': 0, 'image_placeholder_char_ratio': 0.0, 'unique_non_whitespace_char_count': 445, 'unique_char_ratio': 0.25722543352601157, 'long_repeated_symbol_run_count': 0, 'quality_status': 'USABLE', 'pass': True}",True,True,True,True,True,CUMCM-1995-A-004,True,True,False
"{'text_chars': 86056, 'replacement_char_count': 0, 'replacement_char_ratio': 0.0, 'replacement_run_count': 0, 'max_replacement_run_length': 0, 'control_char_count': 0, 'control_char_ratio': 0.0, 'printable_char_count': 86056, 'printable_char_ratio': 1.0, 'cjk_char_count': 9765, 'latin_char_count': 26906, 'digit_count': 10398, 'alphanumeric_cjk_ratio': 0.5469577949242354, 'image_placeholder_count': 0, 'image_placeholder_char_ratio': 0.0, 'unique_non_whitespace_char_count': 777, 'unique_char_ratio': 0.011732020716000543, 'long_repeated_symbol_run_count': 0, 'quality_status': 'USABLE', 'pass': True}",True,True,True,True,True,CUMCM-2020-D-003,True,True,False
"{'text_chars': 2067, 'replacement_char_count': 0, 'replacement_char_ratio': 0.0, 'replacement_run_count': 0, 'max_replacement_run_length': 0, 'control_char_count': 0, 'control_char_ratio': 0.0, 'printable_char_count': 2067, 'printable_char_ratio': 1.0, 'cjk_char_count': 882, 'latin_char_count': 135, 'digit_count': 68, 'alphanumeric_cjk_ratio': 0.524915336236091, 'image_placeholder_count': 0, 'image_placeholder_char_ratio': 0.0, 'unique_non_whitespace_char_count': 379, 'unique_char_ratio': 0.3073803730738037, 'long_repeated_symbol_run_count': 0, 'quality_status': 'USABLE', 'pass': True}",True,True,True,True,True,CUMCM-1995-A-007,True,True,False
"{'text_chars': 123899, 'replacement_char_count': 0, 'replacement_char_ratio': 0.0, 'replacement_run_count': 0, 'max_replacement_run_length': 0, 'control_char_count': 0, 'control_char_ratio': 0.0, 'printable_char_count': 123899, 'printable_char_ratio': 1.0, 'cjk_char_count': 18825, 'latin_char_count': 48597, 'digit_count': 6475, 'alphanumeric_cjk_ratio': 0.5964293497122657, 'image_placeholder_count': 0, 'image_placeholder_char_ratio': 0.0, 'unique_non_whitespace_char_count': 1106, 'unique_char_ratio': 0.011404178094904209, 'long_repeated_symbol_run_count': 0, 'quality_status': 'USABLE', 'pass': True}",True,True,True,True,True,CUMCM-2020-B-002,True,True,False
"{'text_chars': 4795, 'replacement_char_count': 0, 'replacement_char_ratio': 0.0, 'replacement_run_count': 0, 'max_replacement_run_length': 0, 'control_char_count': 0, 'control_char_ratio': 0.0, 'printable_char_count': 4795, 'printable_char_ratio': 1.0, 'cjk_char_count': 1831, 'latin_char_count': 259, 'digit_count': 362, 'alphanumeric_cjk_ratio': 0.5113660062565172, 'image_placeholder_count': 0, 'image_placeholder_char_ratio': 0.0, 'unique_non_whitespace_char_count': 536, 'unique_char_ratio': 0.1871508379888268, 'long_repeated_symbol_run_count': 0, 'quality_status': 'USABLE', 'pass': True}",True,True,True,True,True,CUMCM-1992-A-004,True,True,False
