paper_id,source_path,source_sha256,page_count,prior_deferred_reason,ocr_started,ocr_completed,ocr_output_exists,page_audit_exists,extraction_failure_reason,retry_safe
CUMCM-2012-A-001,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (3).pdf,B3E23D0568C6B8A3529598A4F2B9E3ED5B9EB90E71E32232B337F707996F5519,27,DEFERRED_Q2_EXTRACTION_ANOMALY,0,0,1,1,,0
CUMCM-2012-A-A285,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价/A285.pdf,CA15AFED80D166CDB2F7232C220A2F1B0C6269199F13D48CF852973F19AA78AC,41,DEFERRED_Q2_EXTRACTION_ANOMALY,0,0,1,1,,0
CUMCM-2013-C-010,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/成都工业学院 专5 C 肖瑜琳 刘新燕 黄龙.pdf,6AB6592042F87A3F1863F72A0B2E3FE2745A72C9F229D559B2F2EE89CDF545C3,39,DEFERRED_Q2_EXTRACTION_ANOMALY,0,0,1,1,,0
CUMCM-2014-B-B1801,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (4)/B18013004_邓敏娜_宁凯_董婷婷.pdf,60C5C17610AB269DADFB43510F940289499DD1217D33CAB156F16A24A108D6FF,26,DEFERRED_Q2_EXTRACTION_ANOMALY,0,0,1,1,,0
CUMCM-2018-B-001,2018年数学建模国赛真题+优秀论文/2018年优秀论文/2018B：RGV 的动态调度优化问题.pdf,DD2FAA6CFD84373FF40963D1AD1C7DECED7A97878AAFA146FF287F6246E00D17,29,DEFERRED_Q2_EXTRACTION_ANOMALY,0,0,1,1,,0
CUMCM-2018-D-004,2018年数学建模国赛真题+优秀论文/2018年优秀论文/2018D：汽车总装线配置的优化模型研究.pdf,6B9B3A408D9D55D049255A13BA2C14A078325897D7264DE3A719958346673D7C,40,DEFERRED_Q2_EXTRACTION_ANOMALY,0,0,1,1,,0
