paper_id,attempt,pdf_path,pdf_exists,pdf_sha256,expected_pdf_sha256,pdf_sha_match,pdf_size,pdf_readable,page_count,pdf_class,text_layer_present,ocr_route_required,encrypted,malformed_pdf,audit_error,pdf_inspector_version,poppler_version,audit_status
CUMCM-2014-A-006,PRIMARY,derived/scale/doc_contract_pilot_interactive/CUMCM-2014-A-006/source_converted.pdf,1,C1643A340D3A39BE4B880B2BBE6A5BA1A52826602685C05A78360EE5766D3292,C1643A340D3A39BE4B880B2BBE6A5BA1A52826602685C05A78360EE5766D3292,1,57827,1,1,TEXT,1,0,no,0,,1.15.0,25.02.0,PASS
CUMCM-2014-A-006,VALIDATION,tmp/g8_doc_interactive_word_pilot/validation/CUMCM-2014-A-006/source_converted.pdf,1,81327F3A37AECC30F846E98A914F2A1DF3E407DF715CF785F57D2F40F0A00D9F,81327F3A37AECC30F846E98A914F2A1DF3E407DF715CF785F57D2F40F0A00D9F,1,57827,1,1,TEXT,1,0,no,0,,1.15.0,25.02.0,PASS
CUMCM-2011-C-002,PRIMARY,derived/scale/doc_contract_pilot_interactive/CUMCM-2011-C-002/source_converted.pdf,1,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,1,1217390,1,42,TEXT,1,0,no,0,,1.15.0,25.02.0,PASS
CUMCM-2011-C-002,VALIDATION,tmp/g8_doc_interactive_word_pilot/validation/CUMCM-2011-C-002/source_converted.pdf,1,FFA4DE0FDFDE77E81C7D46CE5F240DFD1E4CEDCBB1D07809A008D9BEE2645854,FFA4DE0FDFDE77E81C7D46CE5F240DFD1E4CEDCBB1D07809A008D9BEE2645854,1,1216920,1,42,TEXT,1,0,no,0,,1.15.0,25.02.0,PASS
CUMCM-2013-D-001,PRIMARY,derived/scale/doc_contract_pilot_interactive/CUMCM-2013-D-001/source_converted.pdf,1,3C560062FFD7F9F4E855926AD051346D4FC2366C0052D80159836E1A007812A4,3C560062FFD7F9F4E855926AD051346D4FC2366C0052D80159836E1A007812A4,1,2908069,1,81,TEXT,1,0,no,0,,1.15.0,25.02.0,PASS
CUMCM-2013-D-001,VALIDATION,tmp/g8_doc_interactive_word_pilot/validation/CUMCM-2013-D-001/source_converted.pdf,1,802248DA6EC0A8D17DB2C6407E75E81280C04B27E2709232F30E7CDE9EF4DCB2,802248DA6EC0A8D17DB2C6407E75E81280C04B27E2709232F30E7CDE9EF4DCB2,1,2908069,1,81,TEXT,1,0,no,0,,1.15.0,25.02.0,PASS
