"paper_id","candidate_page_count","reference_page_count","page_count_match","page_class_match","ocr_route_match","page_text_sha256_match","candidate_normalized_text_sha256","reference_normalized_text_sha256","normalized_text_match","reference_semantic_sha256","binary_pdf_sha_equality_required","semantic_compatibility"
"CUMCM-2011-C-002","42","42","1","1","1","0","82C7A3B8EC1CBD000CB0525C870799FF74EBD82556B1152F9322A3CFC2EC5F53","3EDB1F6E4EDACC5F864FC661025354F4B529B44B5C1FD412BE69EC69CA1939E7","0","9E21A7F4793D216A6922A9C0B6A5183D7324776B84BE0F0152A0DA2CACC1F1B9","0","FAIL"
"CUMCM-2013-D-001","81","81","1","1","1","0","F58B5ECDA6703A2C3A96DB64462CD1CDCBEDA639F3AC4C5E9CE76BB8BC4BE10F","744D46615498B729572264F9927F31F4795482025DC2B79B9F7AF0A7C4BCB19F","0","AF64FDD8C4C6A5293C42F59FD00862D90B84F9A38D13F5DE929533F164F94CC7","0","FAIL"
"CUMCM-2014-D-003","33","33","1","1","1","0","FF5BA354EABBEF0D542DFCFFCC811F29D609D358044CEA94B703B121E7BEB1C1","7FECDE86AD4CA50CDA49759F11FAAE9F38A1CCB3F400194489230861AE1A6C89","0","D14B7C8C148BC23766E68BEF379A3876BCA3708CB4799F85D86A7F47DF887D00","0","FAIL"
