paper_id,year,problem,source_page,source_path,source_sha256,artifact_set_id,formal_body_path,formal_body_sha256,prior_scope_status,render_status,render_path,render_sha256,image_width,image_height,non_background_pixel_ratio,image_entropy,edge_density_proxy,visual_density_class,ocr_status,ocr_output_path,ocr_output_sha256,ocr_raw_char_count,ocr_normalized_char_count,ocr_normalized_line_count,ocr_substantive_detected,ocr_substantive_basis,diagnostic_class,new_scope_status,scope_confidence,requires_manual_visual_review,repair_required,notes
CUMCM-2007-A-003,2007,A,19,2007年数学建模国赛真题+优秀论文/2007年优秀论文/2007A：《中国人口增长预测模型的建立与分析》.pdf,27AE164C866FB604263728077B526476AFF89C1C83CA5DDE9E5A574FBA704F91,derived/scale/papers/CUMCM-2007-A-003,derived/scale/papers/CUMCM-2007-A-003/paper.md,B3246C36293AD4E1270D5F165CC589A0C25142FF400E1BC33C539B75F456AC31,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-2007-A-003/source_page_19.png,1E118CDF3ACE8696659EF40A719BC41559FFD8F7E097455B0F82C96A52ED84FD,1489,2105,0.03212945,0.58806185,0.02102049,VISUALLY_AMBIGUOUS,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-2007-A-003/source_page_19.txt,85F8FC7D4D8D2546555E63C79234E410AB1E75E290BB825C6B91C2B8A8A03F3A,13,12,5,0,"Conservative substantive threshold not met: cjk=2, letters=2, words=1, lines=5. Empty OCR is not blank evidence.",OCR_NON_SUBSTANTIVE_OR_EMPTY,UNRESOLVED,LOW,1,0,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Empty/garbled/unusable or uncalibrated OCR remains unresolved; no blank inference.
CUMCM-2007-B-006,2007,B,41,2007年数学建模国赛真题+优秀论文/2007年优秀论文/2007B：《公交查询系统的最佳乘车方案研究与设计》.pdf,73857127F8E496EFAF5270EAE9967E5C14EF024539D4976E6577A8B57F118696,derived/scale/papers/CUMCM-2007-B-006,derived/scale/papers/CUMCM-2007-B-006/paper.md,048CAF52A02816FCAD3649490E2A9B3B8D2CB85C62D2D3D1412328CE43A67A30,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-2007-B-006/source_page_41.png,92FDC21882F42134947B028DB37E6F24A4AA3F020FC7731F2CB21A2CBAAC0D09,1489,2105,0.04000129,0.70580423,0.02242869,VISUALLY_AMBIGUOUS,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-2007-B-006/source_page_41.txt,6F9A31371E8EB6A3F457002EC3B28EE71F9C1AC404D71280F57FF887D06D80DC,16,15,7,0,"Conservative substantive threshold not met: cjk=1, letters=3, words=1, lines=6. Empty OCR is not blank evidence.",OCR_NON_SUBSTANTIVE_OR_EMPTY,UNRESOLVED,LOW,1,0,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Empty/garbled/unusable or uncalibrated OCR remains unresolved; no blank inference.
CUMCM-2007-B-011,2007,B,2,2007年数学建模国赛真题+优秀论文/2007年优秀论文/2007B：《基于多种评价方案的公交线路选择优化模型》.pdf,951DDC6AFABB3C693C09C9C9C92149827FA888E872439E3DD53A9E3FBE3A3794,derived/scale/papers/CUMCM-2007-B-011,derived/scale/papers/CUMCM-2007-B-011/paper.md,B6404540EF2A74C970DEAC82C803AE4DC23ED95E434CAB505B84EB569E9013BF,UNRESOLVED,PASS,catalog/scale/g11_image_residual_renders/residual/CUMCM-2007-B-011/source_page_2.png,68F480FEF3C88DC40A0B2B267EF341571243D5AEBF4956002A088E36AF7DB5FA,1489,2105,0.03222117,0.58522485,0.02073453,VISUALLY_AMBIGUOUS,PASS,catalog/scale/g11_image_residual_ocr/residual/CUMCM-2007-B-011/source_page_2.txt,3BA321FAE4A85B4AAC7C29589B6C3470D784FB1CF30708F3A171A6DC20AE3589,10,9,5,0,"Conservative substantive threshold not met: cjk=2, letters=0, words=0, lines=5. Empty OCR is not blank evidence.",OCR_NON_SUBSTANTIVE_OR_EMPTY,UNRESOLVED,LOW,1,0,Diagnostic render/OCR only; OCR text is not formal extraction or repair input. Empty/garbled/unusable or uncalibrated OCR remains unresolved; no blank inference.
