runtime_root,pdfinfo,pdftotext,pdftoppm,pdftocairo,classification,dll_load_evidence
C:\Users\WRZ\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\poppler\Library\bin,26.05.0,MISSING,26.05.0,MISSING,OTHER_VERSION_INCOMPLETE,INCOMPLETE
D:\texlive\2026\bin\windows,25.02.0,25.02.0,25.02.0,25.02.0,EXACT_25_02_0_COMPLETE,ALL_PRESENT_EXECUTABLES_-V_PASS
