paper_id,change_type,expected,status,old_record_sha256,new_record_sha256,notes
CUMCM-1997-A-004,ADDED,1,EXPECTED,,81EBCE9980A6D49A4A3B425558147AF54239195B885307011F889857CDF3385D,new formal index creation
CUMCM-1997-A-005,ADDED,1,EXPECTED,,B17C177C469F864533C7BB697AF313072BE893029AE7A9CDB82FD3CDDC10FAB5,new formal index creation
CUMCM-1997-A-006,ADDED,1,EXPECTED,,56E6D97DC61FC9364A1230DBF25DA95C65AEAC76610EA5B7085B3983237A4B92,new formal index creation
CUMCM-1997-A-007,ADDED,1,EXPECTED,,75F147E9C21A79CBB434336C58967267D1C0CF746345E7DA3D24ED3450762F5F,new formal index creation
CUMCM-1997-A-008,ADDED,1,EXPECTED,,B78336EEBAAF49C41870710C4C4DA7C66A8079F0423EA97CDF0D310FBB8B4AA3,new formal index creation
CUMCM-1997-A-009,ADDED,1,EXPECTED,,D7524253BEC0E2C296FAEF9B716C5144BA3DEF49C5A086119DDCFFF09E0AD67C,new formal index creation
CUMCM-1997-B-001,ADDED,1,EXPECTED,,4221EC5DFAD79195063B10357B63AD7AD7BC9DA040D471C8B80B4B75925562CF,new formal index creation
CUMCM-1997-B-002,ADDED,1,EXPECTED,,4FA518D46B1E3B1EE38ECC6F166A20712B5C975ECECF3FB791015FDD8CF207F4,new formal index creation
CUMCM-1997-B-003,ADDED,1,EXPECTED,,FE1799AE9DDCE8FB5572DC1574ACBC86E222584EA3C1FCAE36C2292D9C279F4C,new formal index creation
CUMCM-1997-B-004,ADDED,1,EXPECTED,,17254A4F0236079B4176B9500573622CAAFC737FD7A64875D33E1B9BA48DC5D9,new formal index creation
CUMCM-1997-B-005,ADDED,1,EXPECTED,,776F328BD9BB3F90F7BBEFE4CB2BCE60E6A4FCC5C3B4E9D1844CDBFB42581052,new formal index creation
CUMCM-1997-B-006,ADDED,1,EXPECTED,,112DFEFCCE1D109EAF4E1FA390475721A00B9BC0DD9744FF4267CCD0F5C5F0E8,new formal index creation
CUMCM-1997-B-007,ADDED,1,EXPECTED,,6761B11D2C1C5D3BE1F112F181498B19AB2CFD6A6FFB475DF97CCFA6B9837B6C,new formal index creation
CUMCM-1998-A-001,ADDED,1,EXPECTED,,D965126C9F0FC3434A911D9FB75E7E95EEB2C088B98952A6666BEA5645565A4A,new formal index creation
CUMCM-1998-A-002,ADDED,1,EXPECTED,,A999EAD72757749FC5D4C8A97799377FE7DF7F0EC1046AFE9CCA6A3F15EA8A22,new formal index creation
CUMCM-1998-A-003,ADDED,1,EXPECTED,,CF95B9CDBC5C58D90B67033D5DCE8FDE9EB919D50166CAE5739A2FE5F42AF520,new formal index creation
CUMCM-1998-A-004,ADDED,1,EXPECTED,,BC3BDAA3ADD9278B99648DDBE539BEFBE2098F6BF251742A419CEE8E4D769832,new formal index creation
CUMCM-1998-A-005,ADDED,1,EXPECTED,,62D1B5F1A061EF4E09196F8D36EEDA2B81CB7C17C4C227BE056E9B3C1BCE2B68,new formal index creation
CUMCM-1998-A-006,ADDED,1,EXPECTED,,5E1FD47B47E182211B5439CD0FDE01B37F098EC17A3365EB4320FB60DA39615E,new formal index creation
CUMCM-1998-A-007,ADDED,1,EXPECTED,,C13404F02543692EC95B0B5572D53674EB3561D0CFBD4B0218934296BF7FF539,new formal index creation
CUMCM-1998-A-008,ADDED,1,EXPECTED,,D28C31AE35235308A10E9D6C85E848325A3F51C97A4CB74349D4CE5D629399F6,new formal index creation
CUMCM-1998-B-001,ADDED,1,EXPECTED,,DCC5ACF63CA84216D82A0F02165D105AFF07433FFE1434CF04BBCFC39B550527,new formal index creation
CUMCM-1998-B-002,ADDED,1,EXPECTED,,36BC0676A25DAA9221376F4CBDE6F54ECDC5617036AE7D993CA0B5099089EFB3,new formal index creation
CUMCM-1998-B-003,ADDED,1,EXPECTED,,5FC901CA30101BE8BA7608ABF00D94B73E834C1C36757CF4550D20E2903F5187,new formal index creation
CUMCM-1998-B-004,ADDED,1,EXPECTED,,C828CDC7951CE7BB290A838536AEB17D141011E92D4F22535855DC3C17C84AC2,new formal index creation
CUMCM-1998-B-005,ADDED,1,EXPECTED,,689394BE4C93261F027957C54FF44CCE57C561DF2C43AD4E494BF0567C7E82B7,new formal index creation
CUMCM-1998-B-006,ADDED,1,EXPECTED,,624D49BFA0B05FB47A810D5EBD6947B0A286C336364D6CD60EF3A02A01E9A517,new formal index creation
CUMCM-1998-B-007,ADDED,1,EXPECTED,,67BB90B2BCC4A4325319E6A7A6E698764070A8FFF076618E8FA62F570171D28B,new formal index creation
CUMCM-1999-A-001,ADDED,1,EXPECTED,,7BD941ADFD6446F25D1456644F6BEE736C2D215E4F2664C7D8BBD9B4CD5706D0,new formal index creation
CUMCM-1999-A-002,ADDED,1,EXPECTED,,5C495340429FA6B1AD55B3C6493B2E07DEBE2398B8CF98522CE32E59B999E11F,new formal index creation
CUMCM-1999-A-003,ADDED,1,EXPECTED,,9BD404B450A949ABCC0AE301066A13E42703DEC88ADC94BAC220284928961F4C,new formal index creation
CUMCM-1999-A-004,ADDED,1,EXPECTED,,C2D88E253284714DE71D9D5D846FFE88002E76E34FED14190F6618D110A92252,new formal index creation
