paper_id,attempt,logical_page_number,page_class,text_layer_present,ocr_route_required,text_chars,text_sha256,rendered_for_classification,nonwhite_ratio
CUMCM-2011-C-002,PRIMARY,35,TEXT_PAGE,1,0,1206,DF534C66C0913CD8FE5BF08A2EADDCB2098236FEB7C740B37D9AB7159F318E25,0,
CUMCM-2011-C-002,PRIMARY,36,TEXT_PAGE,1,0,687,C9F81A8E9784205392C94AFA6C02613FAF8A99A950033F1AB3F16D1E69E83D19,0,
CUMCM-2011-C-002,PRIMARY,37,TEXT_PAGE,1,0,1171,EA0B6E1E2FF1C1077BB80C4EB6CA99E1727CE9F64B18B7A4053DC5F205746A5F,0,
CUMCM-2011-C-002,PRIMARY,38,TEXT_PAGE,1,0,759,13A15A98DD4615D17A06F77A2F8C439D5BA07A3ECD91A0B107C415D9FB9AC72A,0,
CUMCM-2011-C-002,PRIMARY,39,TEXT_PAGE,1,0,1144,35ED7E82A8CF6C62C16489063659D074C280EF8E98D81DC6DF05AFFB31E1C449,0,
CUMCM-2011-C-002,PRIMARY,40,TEXT_PAGE,1,0,1143,AB33E3D3C81FBC18D54A8305505CBD9ADE266CFEE7E0A4273E34731F0BA899CB,0,
CUMCM-2011-C-002,PRIMARY,41,TEXT_PAGE,1,0,770,672A3069FF0E29B8EFCB68EDC5D6566D04375EF7EDDAA2067361B2A67E810FC0,0,
CUMCM-2011-C-002,PRIMARY,42,TEXT_PAGE,1,0,141,D72A64D26221B2D62B001653DE1FE772CE18FE2CB642FE2692A07C8F36ABA8E3,0,
CUMCM-2011-C-002,VALIDATION,1,TEXT_PAGE,1,0,761,378390AC413B1423CD32811A446EDF17CA113C8682E8DE2E7D84832980A47BDB,0,
CUMCM-2011-C-002,VALIDATION,2,TEXT_PAGE,1,0,1291,2A4B85690C7E3260A733D803DBB24FF504A5CD76A12FEEA290C79D1B955CB6C9,0,
CUMCM-2011-C-002,VALIDATION,3,TEXT_PAGE,1,0,517,9638F7B6C233F933CEB6158538C824D61EFFF2E957E2C924C5AA770AA392F8E8,0,
CUMCM-2011-C-002,VALIDATION,4,TEXT_PAGE,1,0,784,5FF0D056BA5AA46DE03B43DEF3A779A4BEF0C3F0AB0A2CEAEC21059D7908FDEF,0,
CUMCM-2011-C-002,VALIDATION,5,TEXT_PAGE,1,0,750,F37D1A4161543A82AC94DD57411AD1F36759959085E8B689242AEFDEF676D2D4,0,
CUMCM-2011-C-002,VALIDATION,6,TEXT_PAGE,1,0,680,EAD08D57C550EEB892DE1E98340C825B9D534E1D863A9B653895C1940A306591,0,
CUMCM-2011-C-002,VALIDATION,7,TEXT_PAGE,1,0,1057,7C4A46605A013537E6393E98A11EBC0BFAB508E8AD9C6BB5C5F0C0613854A58E,0,
CUMCM-2011-C-002,VALIDATION,8,TEXT_PAGE,1,0,671,0DA58F2F57E9AD91FA6F6B55F3D73D5FCCDAF619EC647DD820241102D899C170,0,
