batch_attempt_id,paper_id,sequence_number,status,error_code,primary_error_code,cleanup_error_code,source_gate_status,page_count,ocr_required,ocr_completed,body_quality_status,content_sanity_status,provenance_status,persistence_status,reused,started_at,finished_at
20260902T181812821882_f3ed3664,CUMCM-1997-A-001,29,PASS,,,,PASS,4,4,4,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.974610+00:00,2026-09-02T18:18:15.010099+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-A-002,30,PASS,,,,PASS,5,5,5,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.025843+00:00,2026-09-02T18:18:15.077367+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-A-003,31,PASS,,,,PASS,5,5,5,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.093014+00:00,2026-09-02T18:18:15.140523+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-A-004,32,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.157334+00:00,2026-09-02T18:18:15.205676+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-A-005,33,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.220355+00:00,2026-09-02T18:18:15.276906+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-A-006,34,PASS,,,,PASS,4,4,4,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.292692+00:00,2026-09-02T18:18:15.330962+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-A-007,35,PASS,,,,PASS,4,4,4,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.345936+00:00,2026-09-02T18:18:15.389099+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-B-001,36,PASS,,,,PASS,3,3,3,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.405665+00:00,2026-09-02T18:18:15.439597+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-B-002,37,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.455841+00:00,2026-09-02T18:18:15.506225+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-B-003,38,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.522181+00:00,2026-09-02T18:18:15.592741+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-B-005,39,PASS,,,,PASS,5,5,5,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.612017+00:00,2026-09-02T18:18:15.672063+00:00
20260902T181812821882_f3ed3664,CUMCM-1997-B-006,40,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.691404+00:00,2026-09-02T18:18:15.747751+00:00
20260902T181812821882_f3ed3664,CUMCM-1998-A-002,41,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.765105+00:00,2026-09-02T18:18:15.827236+00:00
20260902T181812821882_f3ed3664,CUMCM-1998-A-003,42,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.842795+00:00,2026-09-02T18:18:15.897015+00:00
20260902T181812821882_f3ed3664,CUMCM-1998-A-004,43,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.911680+00:00,2026-09-02T18:18:15.965578+00:00
20260902T181812821882_f3ed3664,CUMCM-1998-A-006,44,PASS,,,,PASS,4,4,4,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:15.984214+00:00,2026-09-02T18:18:16.015968+00:00
20260902T181812821882_f3ed3664,CUMCM-1998-B-007,45,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.032743+00:00,2026-09-02T18:18:16.096233+00:00
20260902T181812821882_f3ed3664,CUMCM-2002-A-001,46,PASS,,,,PASS,12,12,12,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.113855+00:00,2026-09-02T18:18:16.197351+00:00
20260902T181812821882_f3ed3664,CUMCM-2002-A-006,47,PASS,,,,PASS,10,10,10,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.213196+00:00,2026-09-02T18:18:16.274857+00:00
20260902T181812821882_f3ed3664,CUMCM-2002-A-007,48,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.291581+00:00,2026-09-02T18:18:16.339611+00:00
20260902T181812821882_f3ed3664,CUMCM-2002-A-010,49,PASS,,,,PASS,3,3,3,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.355337+00:00,2026-09-02T18:18:16.390459+00:00
20260902T181812821882_f3ed3664,CUMCM-2002-A-013,50,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.406513+00:00,2026-09-02T18:18:16.463122+00:00
20260902T181812821882_f3ed3664,CUMCM-2002-A-014,51,PASS,,,,PASS,9,9,9,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.479125+00:00,2026-09-02T18:18:16.544902+00:00
20260902T181812821882_f3ed3664,CUMCM-2002-A-015,52,PASS,,,,PASS,9,9,9,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.561021+00:00,2026-09-02T18:18:16.620366+00:00
20260902T181812821882_f3ed3664,CUMCM-2003-A-001,53,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.638193+00:00,2026-09-02T18:18:16.693665+00:00
20260902T181812821882_f3ed3664,CUMCM-2003-A-004,54,PASS,,,,PASS,10,10,10,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.712246+00:00,2026-09-02T18:18:16.790902+00:00
20260902T181812821882_f3ed3664,CUMCM-2003-A-009,55,PASS,,,,PASS,10,10,10,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.808173+00:00,2026-09-02T18:18:16.892903+00:00
20260902T181812821882_f3ed3664,CUMCM-2003-A-010,56,PASS,,,,PASS,10,10,10,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.911203+00:00,2026-09-02T18:18:16.970486+00:00
20260902T181812821882_f3ed3664,CUMCM-2003-B-002,57,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:16.987168+00:00,2026-09-02T18:18:17.044765+00:00
20260902T181812821882_f3ed3664,CUMCM-2003-B-004,58,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.061730+00:00,2026-09-02T18:18:17.107605+00:00
20260902T181812821882_f3ed3664,CUMCM-2003-B-006,59,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.123858+00:00,2026-09-02T18:18:17.166459+00:00
20260902T181812821882_f3ed3664,CUMCM-2003-B-010,60,PASS,,,,PASS,10,10,10,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.182377+00:00,2026-09-02T18:18:17.254061+00:00
20260902T181812821882_f3ed3664,CUMCM-2003-B-011,61,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.269822+00:00,2026-09-02T18:18:17.331623+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-A-001,62,PASS,,,,PASS,5,5,5,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.347870+00:00,2026-09-02T18:18:17.394594+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-A-002,63,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.413374+00:00,2026-09-02T18:18:17.479152+00:00
