paper_id,change_type,expected,status,old_record_sha256,new_record_sha256,notes
CUMCM-1999-A-002,CHANGED,1,EXPECTED,5C495340429FA6B1AD55B3C6493B2E07DEBE2398B8CF98522CE32E59B999E11F,B8F4685CC71D614B046425ABB9F13FDE1EC7B4A1F56C51D043BF92FEC809195D,G11 repaired formal artifact projection refresh
CUMCM-1999-A-003,CHANGED,1,EXPECTED,9BD404B450A949ABCC0AE301066A13E42703DEC88ADC94BAC220284928961F4C,4E110EB74DC6295C4AE8F4CD23831F1A53A1A117FA6411264D5C15D4281C5B8A,G11 repaired formal artifact projection refresh
CUMCM-1999-A-004,CHANGED,1,EXPECTED,C2D88E253284714DE71D9D5D846FFE88002E76E34FED14190F6618D110A92252,0264AC92E9ADA856F9ED61B1E13DCDFFE7CA8251E39B4520397CACE4097A028E,G11 repaired formal artifact projection refresh
CUMCM-1999-A-005,CHANGED,1,EXPECTED,DDA29C8A130F7B194A127D4C3FD4922952F23B93175ABAF1B082403F5A3D5FB8,CBA5CB9922341252849AC042D735106257BAC2997C19585EF2E97EAB4156B1D7,G11 repaired formal artifact projection refresh
CUMCM-1999-A-006,CHANGED,1,EXPECTED,17962DD3E95B6CA8F84ED4850A8411164297FB212DECA1D1FA72720D13585C3C,7217854AF28F146D7364C95A9C92CF731F8AFE8956826169D1E741C928D35787,G11 repaired formal artifact projection refresh
CUMCM-1999-A-007,CHANGED,1,EXPECTED,FCEA6C74804D653AA1125156F5F72EC06F3FBDB65D6F8AF6B757896493B6B097,C1C7AB655E25CF912F14223773E1546767725D1F53418EAC84F5ABA0DDA0A218,G11 repaired formal artifact projection refresh
CUMCM-1999-A-008,CHANGED,1,EXPECTED,F34E4B97DB450E2EC697CB43B24111B29C3B2CFFEA6A9967EC50613C404307BF,8ED584BEDE5AF5CBE63DD6D413496657BCC8C7CB7A58A22287651858C2877FB4,G11 repaired formal artifact projection refresh
CUMCM-1999-B-001,CHANGED,1,EXPECTED,E99B366F5C2ABAE65B0FB9B5998CFC3AB2526FFC1A72BD2838BD14ADBB96B69F,2FB75D5411A191C4954C6612A791B120D7F033B2AFE1D569B52CAA2F13740AD0,G11 repaired formal artifact projection refresh
CUMCM-1999-B-002,CHANGED,1,EXPECTED,D8F05EC7D8A76F9E52A27BFC78565063B25AE95E52766A15603C896BE698CB04,A8A587DE2BFCDC4D79E82D2C231E1CEB63C86005565DF15A28CC2687E99F0439,G11 repaired formal artifact projection refresh
CUMCM-1999-B-003,CHANGED,1,EXPECTED,35513797B5001932F7EECFED7F16CE8F1DA35ADC10295907F2B7C768246A24F7,D7EAB691AC1C023312B94A4ABC706E77032088D20BAA534022A762A7A9B2FCA6,G11 repaired formal artifact projection refresh
CUMCM-1999-B-004,CHANGED,1,EXPECTED,6801DEF5C2DE7F39AFBF39432A0E01536DC5964C223530899206BEEC477358D0,5608BBAAE3B2D507756683541EF3D72C20B2F219D27C2167E7E1DC1AC5AE42C0,G11 repaired formal artifact projection refresh
CUMCM-1999-B-005,CHANGED,1,EXPECTED,F3AF90E151F7F9FCE99ACA93275E1A8637EBCEAEDFA078E96BD255762412EBD5,8E973DEE264EBFB3FAFB77766E580F1E245D5C328B188D0064DF5EEDA74B617C,G11 repaired formal artifact projection refresh
CUMCM-1999-C-001,CHANGED,1,EXPECTED,09537CB5AE7B51E843035143938DDC592B8B012812CCFFB5FE0755EBBA36277E,278C0855F2DD7EC4D0DBE01DC3C3F90CB57E8365FC1A2717C1B9A85776C2E56D,G11 repaired formal artifact projection refresh
CUMCM-1999-C-002,CHANGED,1,EXPECTED,CAE3B34D8155CE3A6BCDB76F3CB1BF28748691EFA0BFBACCA93D4EBAEA2EC57C,FE8798FE036A8C0E596CADC9F78315E91643A2EF5217EFC062F5FED7E6B90030,G11 repaired formal artifact projection refresh
CUMCM-1999-C-003,CHANGED,1,EXPECTED,06D47C80151FEF7619C34CAA1BED242FFBD498A332BF4B2C2C1EDF2A314B0DB2,E59DBBE9F07DF19E999F2272CA90B01DB2EF305D10DC1B74BB0F770958B15D1B,G11 repaired formal artifact projection refresh
CUMCM-2000-A-001,CHANGED,1,EXPECTED,3BD5BC6B624EDD4518DD52CB38F29C0FA27FC39E140CB4743296F7ED52CBD29D,EC948F926B2F08EB3E4CB46B3D2309FB1AD03C4A75CFB063530234D22C29F238,G11 repaired formal artifact projection refresh
CUMCM-2000-A-002,CHANGED,1,EXPECTED,8F59E3BB8CFF8712AB3579278D7589A6086CDEB3CD2B6218B5204471B7B055FD,5B89BE2B26F568E025707B1E2CE45265A80CB6CEEF0240B1E3E82B6D51204DB8,G11 repaired formal artifact projection refresh
CUMCM-2000-A-003,CHANGED,1,EXPECTED,950962CC72BBBCC0458B5EB16746E4EBEF17BF3EF85E86577F9AE083445EB528,1257E1E02C87A0D5218FF93F39B413F54CA1BE3DD4C045A11405605D4F08C942,G11 repaired formal artifact projection refresh
CUMCM-2000-A-004,CHANGED,1,EXPECTED,4DB9D338E99C62470FCEAC53E695F7A91549D641F9A17C9FAC432F0D48A96771,77185790C5E0BF7F73B43AB655C556672B6CEB916ECC60FB0D093EFA33AE470F,G11 repaired formal artifact projection refresh
CUMCM-2000-A-005,CHANGED,1,EXPECTED,86982818B1C72F2A1305C55F977370242545A330C0C0DEC0CD07518FF8AABA0F,DAE4D448FE61FB03C3EE26511B0F2BBB649DC2ACF163A750EE6689DC9AA77C02,G11 repaired formal artifact projection refresh
CUMCM-2000-A-006,CHANGED,1,EXPECTED,A85407CBA5E3C40843B6A1F826DC851E4FB42F17658BF0CD18E4D8A8A97E4534,5A7F13F9C19FCA034033461EE26D73D961D3064CCE8C0A50542A1FFAFB3C1871,G11 repaired formal artifact projection refresh
CUMCM-2000-B-001,CHANGED,1,EXPECTED,FA1BA627B5A2EA782ECB4AAB13E7F9D9DFE4D7EA894531AFA7B9E22F1C722E48,ECA53A46742D748148B98F7B4ED660ACC092C701B36012CB1A7772210208AC76,G11 repaired formal artifact projection refresh
CUMCM-2000-B-002,CHANGED,1,EXPECTED,D8D3FF33647621CFAA2320AE4C2CAF8D6BBDEC1D163D2F73D32494D1CC38C943,1B7652FE01C8643650B3A259EFDC95C4BB2530FEE2BE5494D103FA8290EE69AF,G11 repaired formal artifact projection refresh
CUMCM-2000-B-003,CHANGED,1,EXPECTED,E6C5AB49E83D714666CF1B09092146B4291D5F0586650229F4FED3BDAE0C9267,21B34E045B37FA623CBD33CEA0AF8891C4EA2C5063BDF363790C419879CBB1BD,G11 repaired formal artifact projection refresh
CUMCM-2000-B-004,CHANGED,1,EXPECTED,19D0C8EF61009AC902DB7657C86F017D4E655C2F3C29B2D121FF0265D7EB1D43,0F156058CB70EAA7520D2F1CF3DFA900D7554CB6E9D118D6238BC0F7418B15C5,G11 repaired formal artifact projection refresh
CUMCM-2000-B-005,CHANGED,1,EXPECTED,0C3D6F4EB3E39A71D4BF0050B0993406A1FB51660CC690630995F0D25C887254,56EC2B953349F24AC9C225F8EBBD5338DA2F7CA147CD6E8B6804A95E27C18913,G11 repaired formal artifact projection refresh
