paper_id,attempt,pdf_path,recorded_pdf_path,pdf_exists,pdf_sha256,expected_pdf_sha256,pdf_sha_match,pdf_size,pdf_readable,page_count,pdf_class,text_layer_present,ocr_route_required,encrypted,malformed_pdf,audit_error,pdf_inspector_version,poppler_version,audit_status
CUMCM-2014-D-003,PRIMARY,derived/scale/doc_contract_pilot_interactive/CUMCM-2014-D-003/source_converted.pdf,D:\cumcm-modeling-Award-Collection\derived\scale\doc_contract_pilot_interactive\CUMCM-2014-D-003\source_converted.pdf,1,00C0D4361A59E3D5F1E97FBE7DAF28B60FCDDA9C26EBF435182C9F6961EB360C,00C0D4361A59E3D5F1E97FBE7DAF28B60FCDDA9C26EBF435182C9F6961EB360C,1,868969,1,33,TEXT,1,0,no,0,,1.15.0,25.02.0,PASS
CUMCM-2014-D-003,VALIDATION,tmp/g8_doc_interactive_word_pilot/validation/CUMCM-2014-D-003/source_converted.pdf,D:\cumcm-modeling-Award-Collection\tmp\g8_doc_interactive_word_pilot\validation\CUMCM-2014-D-003\source_converted.pdf,1,10C4EA391486AC7BD6A84C7FFF7BD606574702901834B7FFC688A350E7AA9C52,10C4EA391486AC7BD6A84C7FFF7BD606574702901834B7FFC688A350E7AA9C52,1,868969,1,33,TEXT,1,0,no,0,,1.15.0,25.02.0,PASS
