attempt_id,sequence_number,tool_kind,phase,paper_id,page_number,started_at,finished_at,duration_ms,timeout_seconds,exit_code,timed_out,status,stdout_bytes,stderr_bytes,stderr_tail,child_pid,cleanup_attempted,cleanup_success,descendant_cleanup_count
20260902T115802455758_405d9fa9,900,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2002-A-015,,2026-09-02T11:58:16.532307+00:00,2026-09-02T11:58:16.601506+00:00,69,180,0,0,SUCCESS,811,0,,20948,0,0,0
20260902T115802455758_405d9fa9,901,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2002-A-015,,2026-09-02T11:58:16.639666+00:00,2026-09-02T11:58:16.755902+00:00,116,180,0,0,SUCCESS,1801,0,,49016,0,0,0
20260902T115802455758_405d9fa9,902,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-A-001,,2026-09-02T11:58:16.789652+00:00,2026-09-02T11:58:16.860829+00:00,71,180,0,0,SUCCESS,811,0,,50540,0,0,0
20260902T115802455758_405d9fa9,903,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-A-001,,2026-09-02T11:58:16.895073+00:00,2026-09-02T11:58:17.024626+00:00,130,180,0,0,SUCCESS,1195,0,,23304,0,0,0
20260902T115802455758_405d9fa9,904,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-A-004,,2026-09-02T11:58:17.064534+00:00,2026-09-02T11:58:17.136603+00:00,72,180,0,0,SUCCESS,812,0,,12224,0,0,0
20260902T115802455758_405d9fa9,905,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-A-004,,2026-09-02T11:58:17.170308+00:00,2026-09-02T11:58:17.322587+00:00,152,180,0,0,SUCCESS,902,0,,50928,0,0,0
20260902T115802455758_405d9fa9,906,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-A-009,,2026-09-02T11:58:17.359069+00:00,2026-09-02T11:58:17.426606+00:00,68,180,0,0,SUCCESS,812,0,,50068,0,0,0
20260902T115802455758_405d9fa9,907,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-A-009,,2026-09-02T11:58:17.460936+00:00,2026-09-02T11:58:17.616874+00:00,156,180,0,0,SUCCESS,957,0,,24112,0,0,0
20260902T115802455758_405d9fa9,908,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-A-010,,2026-09-02T11:58:17.652772+00:00,2026-09-02T11:58:17.728298+00:00,76,180,0,0,SUCCESS,812,0,,14584,0,0,0
20260902T115802455758_405d9fa9,909,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-A-010,,2026-09-02T11:58:17.761864+00:00,2026-09-02T11:58:17.908447+00:00,147,180,0,0,SUCCESS,944,0,,53832,0,0,0
20260902T115802455758_405d9fa9,910,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-B-002,,2026-09-02T11:58:17.943678+00:00,2026-09-02T11:58:18.014474+00:00,71,180,0,0,SUCCESS,811,0,,38624,0,0,0
20260902T115802455758_405d9fa9,911,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-B-002,,2026-09-02T11:58:18.047553+00:00,2026-09-02T11:58:18.162286+00:00,115,180,0,0,SUCCESS,713,0,,34640,0,0,0
20260902T115802455758_405d9fa9,912,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-B-004,,2026-09-02T11:58:18.190483+00:00,2026-09-02T11:58:18.242680+00:00,52,180,0,0,SUCCESS,811,0,,3720,0,0,0
20260902T115802455758_405d9fa9,913,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-B-004,,2026-09-02T11:58:18.273830+00:00,2026-09-02T11:58:18.384105+00:00,110,180,0,0,SUCCESS,624,0,,16984,0,0,0
20260902T115802455758_405d9fa9,914,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-B-006,,2026-09-02T11:58:18.415779+00:00,2026-09-02T11:58:18.471703+00:00,56,180,0,0,SUCCESS,811,0,,19112,0,0,0
20260902T115802455758_405d9fa9,915,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-B-006,,2026-09-02T11:58:18.501442+00:00,2026-09-02T11:58:18.615000+00:00,114,180,0,0,SUCCESS,624,0,,26340,0,0,0
20260902T115802455758_405d9fa9,916,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-B-010,,2026-09-02T11:58:18.646102+00:00,2026-09-02T11:58:18.695542+00:00,49,180,0,0,SUCCESS,812,0,,53464,0,0,0
20260902T115802455758_405d9fa9,917,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-B-010,,2026-09-02T11:58:18.714754+00:00,2026-09-02T11:58:18.828498+00:00,114,180,0,0,SUCCESS,902,0,,38640,0,0,0
20260902T115802455758_405d9fa9,918,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,CUMCM-2003-B-011,,2026-09-02T11:58:18.857219+00:00,2026-09-02T11:58:18.916589+00:00,59,180,0,0,SUCCESS,811,0,,10792,0,0,0
