paper_id,reference_pdf_path,reference_pdf_sha256,stored_reference_normalized_text_sha256,stored_reference_semantic_sha256,replayed_reference_normalized_text_sha256,reference_replay_hash_match,stored_page_count,replayed_page_count,stored_page_class_sequence,replayed_page_class_sequence,stored_page_class_match,stored_page_text_sha_match
CUMCM-2011-C-002,derived/scale/doc_contract_pilot_interactive/CUMCM-2011-C-002/source_converted.pdf,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,3EDB1F6E4EDACC5F864FC661025354F4B529B44B5C1FD412BE69EC69CA1939E7,9E21A7F4793D216A6922A9C0B6A5183D7324776B84BE0F0152A0DA2CACC1F1B9,3EDB1F6E4EDACC5F864FC661025354F4B529B44B5C1FD412BE69EC69CA1939E7,1,42,42,TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE,TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE,1,1
CUMCM-2013-D-001,derived/scale/doc_contract_pilot_interactive/CUMCM-2013-D-001/source_converted.pdf,3C560062FFD7F9F4E855926AD051346D4FC2366C0052D80159836E1A007812A4,744D46615498B729572264F9927F31F4795482025DC2B79B9F7AF0A7C4BCB19F,AF64FDD8C4C6A5293C42F59FD00862D90B84F9A38D13F5DE929533F164F94CC7,744D46615498B729572264F9927F31F4795482025DC2B79B9F7AF0A7C4BCB19F,1,81,81,TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE,TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE,1,1
CUMCM-2014-D-003,derived/scale/doc_contract_pilot_interactive/CUMCM-2014-D-003/source_converted.pdf,00C0D4361A59E3D5F1E97FBE7DAF28B60FCDDA9C26EBF435182C9F6961EB360C,7FECDE86AD4CA50CDA49759F11FAAE9F38A1CCB3F400194489230861AE1A6C89,D14B7C8C148BC23766E68BEF379A3876BCA3708CB4799F85D86A7F47DF887D00,7FECDE86AD4CA50CDA49759F11FAAE9F38A1CCB3F400194489230861AE1A6C89,1,33,33,TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE,TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE;TEXT_PAGE,1,1
