batch_attempt_id,paper_id,page_count,page_order_monotonic,suspicious_adjacent_duplicate,page_text_quality_pass,body_quality_status,body_text_chars,opening_plausible,middle_continuity,ending_plausible,pass
20260902T181812821882_f3ed3664,CUMCM-2003-B-006,7,1,0,1,USABLE,12079,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2003-B-010,10,1,0,1,USABLE,16828,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2003-B-011,8,1,0,1,USABLE,9139,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-A-001,5,1,0,1,USABLE,12255,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-A-002,8,1,0,1,USABLE,16290,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-A-003,8,1,0,1,USABLE,11705,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-A-004,7,1,0,1,USABLE,11194,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-A-005,7,1,0,1,USABLE,9876,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-B-002,8,1,0,1,USABLE,15786,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-B-003,14,1,0,1,USABLE,24277,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-B-004,7,1,0,1,USABLE,11542,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-B-005,6,1,0,1,USABLE,8162,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-B-006,8,1,0,1,USABLE,13231,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2004-B-007,8,1,0,1,USABLE,10587,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-A-005,8,1,0,1,USABLE,8382,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-A-008,8,1,0,1,USABLE,7676,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-A-009,7,1,0,1,USABLE,6967,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-A-012,10,1,0,1,USABLE,8216,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-A-015,7,1,0,1,USABLE,7902,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-B-005,9,1,0,1,USABLE,9357,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-B-007,4,1,0,1,USABLE,4675,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-B-010,7,1,0,1,USABLE,7154,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-C-001,7,1,0,1,USABLE,6597,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-C-002,7,1,0,1,USABLE,6760,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-C-003,11,1,0,1,USABLE,10279,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-D-001,9,1,0,1,USABLE,8759,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2007-D-002,6,1,0,1,USABLE,5073,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2008-A-001,34,1,0,1,USABLE,33379,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2008-A-005,14,1,0,1,USABLE,11060,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2008-A-006,11,1,0,1,USABLE,16922,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2009-C-001,17,1,0,1,USABLE,9177,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2009-C-002,15,1,0,1,USABLE,9545,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2009-C-003,11,1,0,1,USABLE,7753,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2009-C-004,18,1,0,1,USABLE,15552,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2009-C-006,15,1,0,1,USABLE,11388,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2009-D-002,16,1,0,1,USABLE,12603,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2009-D-003,18,1,0,1,USABLE,15407,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2009-D-004,15,1,0,1,USABLE,14234,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2009-D-005,21,1,0,1,USABLE,18289,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2010-A-001,25,1,0,1,USABLE,17222,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2010-A-005,37,1,0,1,USABLE,40887,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2010-A-006,100,1,0,1,USABLE,61066,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2010-B-001,29,1,0,1,USABLE,32783,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2010-C-003,20,1,0,1,USABLE,14119,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2010-D-001,10,1,0,1,USABLE,8560,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-A-002,40,1,0,1,USABLE,41916,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-A-003,42,1,0,1,USABLE,42960,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-A-004,24,1,0,1,USABLE,28389,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-B-001,35,1,0,1,USABLE,45448,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-B-002,27,1,0,1,USABLE,25136,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-B-004,32,1,0,1,USABLE,41153,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-C-001,39,1,0,1,USABLE,39622,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-C-002,39,1,0,1,USABLE,55828,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-C-004,30,1,0,1,USABLE,35006,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-E-001,37,1,0,1,USABLE,26724,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-E-002,23,1,0,1,USABLE,22650,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2019-E-004,20,1,0,1,USABLE,20698,1,1,1,1
