paper_id,source_path,source_absolute,source_size,source_sha256,expected_ole_header,reference_pdf_path,reference_page_audit_path,reference_normalized_text_sha256,reference_semantic_sha256,reference_page_count,reference_normalized_text_chars,candidate_output_relative_path,candidate_word_product_version,artifact_eligible,subject_type
CUMCM-2011-C-002,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,D:\cumcm-modeling-Award-Collection\2011年数学建模国赛真题+优秀论文\2011年优秀论文\2011C：企业退休职工养老金制度的改革 (1).doc,1113600,21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F,D0CF11E0A1B11AE1,derived/scale/doc_contract_pilot_interactive/CUMCM-2011-C-002/source_converted.pdf,catalog/scale/g8_doc_interactive_page_audit.csv,3EDB1F6E4EDACC5F864FC661025354F4B529B44B5C1FD412BE69EC69CA1939E7,9E21A7F4793D216A6922A9C0B6A5183D7324776B84BE0F0152A0DA2CACC1F1B9,42,35528,tmp/g8_doc_converter_version_drift/16.0.20326.20112/CUMCM-2011-C-002/source_converted.pdf,16.0.20326.20112,1,PAPER
CUMCM-2013-D-001,2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析/论文.doc,D:\cumcm-modeling-Award-Collection\2013年数学建模国赛真题+优秀论文\2013D：城市公共自行车服务系统运行状况和效率分析\论文.doc,3814912,955CC7179247EDA8AD6EBB74CFD1233D514D9F80A809B0C2EB244BEACABAFDEA,D0CF11E0A1B11AE1,derived/scale/doc_contract_pilot_interactive/CUMCM-2013-D-001/source_converted.pdf,catalog/scale/g8_doc_interactive_page_audit.csv,744D46615498B729572264F9927F31F4795482025DC2B79B9F7AF0A7C4BCB19F,AF64FDD8C4C6A5293C42F59FD00862D90B84F9A38D13F5DE929533F164F94CC7,81,96750,tmp/g8_doc_converter_version_drift/16.0.20326.20112/CUMCM-2013-D-001/source_converted.pdf,16.0.20326.20112,1,PAPER
CUMCM-2014-D-003,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计/D-储药槽的设计.doc,D:\cumcm-modeling-Award-Collection\2014年数学建模国赛真题+优秀论文\2014优秀论文\2014D：储药槽的设计\D-储药槽的设计.doc,568832,2C45B7888C43355B39D0BC01726D842D4744C55DC1E2F8AF829B7DB9D8D4AA35,D0CF11E0A1B11AE1,derived/scale/doc_contract_pilot_interactive/CUMCM-2014-D-003/source_converted.pdf,catalog/scale/g8_doc_interactive_replacement_page_audit.csv,7FECDE86AD4CA50CDA49759F11FAAE9F38A1CCB3F400194489230861AE1A6C89,D14B7C8C148BC23766E68BEF379A3876BCA3708CB4799F85D86A7F47DF887D00,33,30734,tmp/g8_doc_converter_version_drift/16.0.20326.20112/CUMCM-2014-D-003/source_converted.pdf,16.0.20326.20112,1,PAPER
