paper_id,source_page,artifact_set_id,source_path,source_sha256,formal_body_path,formal_body_sha256,final_scope_status,scope_evidence_type,scope_evidence_path,scope_confidence,repair_required
CUMCM-1992-A-003,4,derived/scale/papers/CUMCM-1992-A-003,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,F24E48AE1113A02C6ADCF3339392D8B2C9A1449BE1A64FB2DE3D8543A8066E12,derived/scale/papers/CUMCM-1992-A-003/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-A-003/source_page_4.txt,HIGH,1
CUMCM-1992-A-003,5,derived/scale/papers/CUMCM-1992-A-003,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,F24E48AE1113A02C6ADCF3339392D8B2C9A1449BE1A64FB2DE3D8543A8066E12,derived/scale/papers/CUMCM-1992-A-003/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1992-B-001,1,derived/scale/papers/CUMCM-1992-B-001,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,9EB60530CF596149C54862AABBBB732ABD9D095267273BEF5682EB79AEE2D99A,derived/scale/papers/CUMCM-1992-B-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-001/source_page_1.txt,HIGH,1
CUMCM-1992-B-001,2,derived/scale/papers/CUMCM-1992-B-001,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,9EB60530CF596149C54862AABBBB732ABD9D095267273BEF5682EB79AEE2D99A,derived/scale/papers/CUMCM-1992-B-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-001/source_page_2.txt,HIGH,1
CUMCM-1992-B-002,1,derived/scale/papers/CUMCM-1992-B-002,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,derived/scale/papers/CUMCM-1992-B-002/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-002/source_page_1.txt,HIGH,1
CUMCM-1992-B-002,2,derived/scale/papers/CUMCM-1992-B-002,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,derived/scale/papers/CUMCM-1992-B-002/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-002/source_page_2.txt,HIGH,1
CUMCM-1992-B-002,3,derived/scale/papers/CUMCM-1992-B-002,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,derived/scale/papers/CUMCM-1992-B-002/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-002/source_page_3.txt,HIGH,1
CUMCM-1992-B-002,4,derived/scale/papers/CUMCM-1992-B-002,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,derived/scale/papers/CUMCM-1992-B-002/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-002/source_page_4.txt,HIGH,1
CUMCM-1992-B-002,5,derived/scale/papers/CUMCM-1992-B-002,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,derived/scale/papers/CUMCM-1992-B-002/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-002/source_page_5.txt,HIGH,1
CUMCM-1992-B-002,6,derived/scale/papers/CUMCM-1992-B-002,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,derived/scale/papers/CUMCM-1992-B-002/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-002/source_page_6.txt,HIGH,1
CUMCM-1992-B-002,7,derived/scale/papers/CUMCM-1992-B-002,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,derived/scale/papers/CUMCM-1992-B-002/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-002/source_page_7.txt,HIGH,1
CUMCM-1992-B-002,8,derived/scale/papers/CUMCM-1992-B-002,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,derived/scale/papers/CUMCM-1992-B-002/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-002/source_page_8.txt,HIGH,1
CUMCM-1992-B-002,9,derived/scale/papers/CUMCM-1992-B-002,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,derived/scale/papers/CUMCM-1992-B-002/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1992-B-002/source_page_9.txt,HIGH,1
CUMCM-1993-B-001,1,derived/scale/papers/CUMCM-1993-B-001,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,9754E4494E59EC79D460387BED3D9B8D8E2B915DCF9E192E7E1DD363F0086EDA,derived/scale/papers/CUMCM-1993-B-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1993-B-001,2,derived/scale/papers/CUMCM-1993-B-001,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,9754E4494E59EC79D460387BED3D9B8D8E2B915DCF9E192E7E1DD363F0086EDA,derived/scale/papers/CUMCM-1993-B-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1996-B-001,1,derived/scale/papers/CUMCM-1996-B-001,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,6EF9201798BF3E216638A2B044038F05712CE4507B9E00192554895DC96D4278,derived/scale/papers/CUMCM-1996-B-001/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1996-B-001,2,derived/scale/papers/CUMCM-1996-B-001,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,6EF9201798BF3E216638A2B044038F05712CE4507B9E00192554895DC96D4278,derived/scale/papers/CUMCM-1996-B-001/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1996-B-001/source_page_2.txt,HIGH,1
CUMCM-1996-B-001,3,derived/scale/papers/CUMCM-1996-B-001,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,6EF9201798BF3E216638A2B044038F05712CE4507B9E00192554895DC96D4278,derived/scale/papers/CUMCM-1996-B-001/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1996-B-001,4,derived/scale/papers/CUMCM-1996-B-001,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,6EF9201798BF3E216638A2B044038F05712CE4507B9E00192554895DC96D4278,derived/scale/papers/CUMCM-1996-B-001/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1996-B-001/source_page_4.txt,HIGH,1
CUMCM-1996-B-001,5,derived/scale/papers/CUMCM-1996-B-001,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,6EF9201798BF3E216638A2B044038F05712CE4507B9E00192554895DC96D4278,derived/scale/papers/CUMCM-1996-B-001/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1996-B-003,1,derived/scale/papers/CUMCM-1996-B-003,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1996-B-003,2,derived/scale/papers/CUMCM-1996-B-003,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1996-B-003,3,derived/scale/papers/CUMCM-1996-B-003,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1996-B-003/source_page_3.txt,HIGH,1
CUMCM-1996-B-003,4,derived/scale/papers/CUMCM-1996-B-003,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1997-A-008,1,derived/scale/papers/CUMCM-1997-A-008,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(1).pdf,7CE89B136265005FB597C7886D441E66504DB71F07101F0F67BC3B94C4543948,derived/scale/papers/CUMCM-1997-A-008/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1997-A-008,2,derived/scale/papers/CUMCM-1997-A-008,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(1).pdf,7CE89B136265005FB597C7886D441E66504DB71F07101F0F67BC3B94C4543948,derived/scale/papers/CUMCM-1997-A-008/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1997-A-008/source_page_2.txt,HIGH,1
CUMCM-1997-A-008,3,derived/scale/papers/CUMCM-1997-A-008,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(1).pdf,7CE89B136265005FB597C7886D441E66504DB71F07101F0F67BC3B94C4543948,derived/scale/papers/CUMCM-1997-A-008/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1997-A-008,4,derived/scale/papers/CUMCM-1997-A-008,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(1).pdf,7CE89B136265005FB597C7886D441E66504DB71F07101F0F67BC3B94C4543948,derived/scale/papers/CUMCM-1997-A-008/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1997-A-008/source_page_4.txt,HIGH,1
CUMCM-1997-A-008,5,derived/scale/papers/CUMCM-1997-A-008,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(1).pdf,7CE89B136265005FB597C7886D441E66504DB71F07101F0F67BC3B94C4543948,derived/scale/papers/CUMCM-1997-A-008/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1997-A-009,1,derived/scale/papers/CUMCM-1997-A-009,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,FF068F978532B4A37B625C35EFCBF72E2BBD2EFDA2638E93BD0D77B8483EA314,derived/scale/papers/CUMCM-1997-A-009/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1997-A-009,2,derived/scale/papers/CUMCM-1997-A-009,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,FF068F978532B4A37B625C35EFCBF72E2BBD2EFDA2638E93BD0D77B8483EA314,derived/scale/papers/CUMCM-1997-A-009/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1997-A-009/source_page_2.txt,HIGH,1
CUMCM-1997-A-009,3,derived/scale/papers/CUMCM-1997-A-009,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,FF068F978532B4A37B625C35EFCBF72E2BBD2EFDA2638E93BD0D77B8483EA314,derived/scale/papers/CUMCM-1997-A-009/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,PREEXISTING_CONFIRMED_DEFECTIVE,catalog/scale/g11_marker_only_image_confirmed_repair_targets.csv,HIGH,1
CUMCM-1997-A-009,4,derived/scale/papers/CUMCM-1997-A-009,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,FF068F978532B4A37B625C35EFCBF72E2BBD2EFDA2638E93BD0D77B8483EA314,derived/scale/papers/CUMCM-1997-A-009/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,CONFIRMED_DEFECTIVE,DIAGNOSTIC_OCR_CONFIRMED,catalog/scale/g11_image_residual_ocr/residual/CUMCM-1997-A-009/source_page_4.txt,HIGH,1
