paper_id,artifact_type,artifact_path,artifact_size,artifact_sha256,source_sha256,effective_pdf_sha256,authoritative_text_sha256,generation_status,subject_type,artifact_eligible,quality,source_map_version,extraction_contract_version,status
CUMCM-2011-D-001,metadata.yaml,derived/scale/papers/CUMCM-2011-D-001/metadata.yaml,851,1F8D6965D191090B998EA4DF0E8FE792B6E4D30FF6512AA3D1A8660BDA85B372,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,02A8F950035ADC599573E0386D60B7E307944926F780C5A66A3CF66892CA4878,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2011-D-001,knowledge_card.md,derived/scale/papers/CUMCM-2011-D-001/knowledge_card.md,1631,779D5695FF981819C38DDD55FA31C12FBCC5820013D88DC917D9FD01C4CD29F7,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,02A8F950035ADC599573E0386D60B7E307944926F780C5A66A3CF66892CA4878,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2011-D-007,paper.md,derived/scale/papers/CUMCM-2011-D-007/paper.md,29155,F6B2D224EC6193636DC79BF9A4491F4206C9BFD26E0935BAA7851B1E9E279804,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,3A5513BF9594D27236C3F5B5C250C146382D3656B464D995AD071766017470D0,6DE9CEA1E7F668A9CF66C7229EEDB64FB94A04F55B4B547BECBB402C1CAEAC33,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2011-D-007,metadata.yaml,derived/scale/papers/CUMCM-2011-D-007/metadata.yaml,821,50AE121235E6F84E5864EEFF4FD0141B49127784E6049A8A031CA0A7FE8A4905,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,3A5513BF9594D27236C3F5B5C250C146382D3656B464D995AD071766017470D0,6DE9CEA1E7F668A9CF66C7229EEDB64FB94A04F55B4B547BECBB402C1CAEAC33,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2011-D-007,knowledge_card.md,derived/scale/papers/CUMCM-2011-D-007/knowledge_card.md,1553,78408C45A2763AB118E2E09D8D096AEF798D7BBE07FCE5B0E270715B71C820B9,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,3A5513BF9594D27236C3F5B5C250C146382D3656B464D995AD071766017470D0,6DE9CEA1E7F668A9CF66C7229EEDB64FB94A04F55B4B547BECBB402C1CAEAC33,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2011-D-013,paper.md,derived/scale/papers/CUMCM-2011-D-013/paper.md,45397,3C362DA0E2D5BA131924B7467DC8D55F36A6BE2970B97A1C28F00C0693E9E01C,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,E0D00DE3E92B4ED095EDABBB3CF10E359C825D4C37932ACC77A353A379838CF1,2244AAC0E5BFF3D75D1DC47E95054766C4DB5ADDE0E5F5E15987BD10488B2B8D,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2011-D-013,metadata.yaml,derived/scale/papers/CUMCM-2011-D-013/metadata.yaml,821,00566DE8F3F102775CDBC205FBC2A1787F174FED9430AB95B0706A5511797A46,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,E0D00DE3E92B4ED095EDABBB3CF10E359C825D4C37932ACC77A353A379838CF1,2244AAC0E5BFF3D75D1DC47E95054766C4DB5ADDE0E5F5E15987BD10488B2B8D,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2011-D-013,knowledge_card.md,derived/scale/papers/CUMCM-2011-D-013/knowledge_card.md,1555,EBEDE25221250B8FA41EDD238478E79BBB480CF157F4DC241A48251AED35A0BA,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,E0D00DE3E92B4ED095EDABBB3CF10E359C825D4C37932ACC77A353A379838CF1,2244AAC0E5BFF3D75D1DC47E95054766C4DB5ADDE0E5F5E15987BD10488B2B8D,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-A-003,paper.md,derived/scale/papers/CUMCM-2012-A-003/paper.md,55220,CEA43DD8F5745A49A25B3FFC86640E4461CEB4C05F8E00DCA568F2F20C8220D3,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,C40455E13E66A460C39DAE91E660AF11E2BE0F61C1F03DB321571CEEDC4ED207,610F0A5D50127AC7FE481AE7E899A70F9D6F6CE906F4CE1EA63D708CF52EB122,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-A-003,metadata.yaml,derived/scale/papers/CUMCM-2012-A-003/metadata.yaml,815,B85243E62675284DF3F748C1098FA4F9C92F9762E176D2FCD73C16C835F30A91,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,C40455E13E66A460C39DAE91E660AF11E2BE0F61C1F03DB321571CEEDC4ED207,610F0A5D50127AC7FE481AE7E899A70F9D6F6CE906F4CE1EA63D708CF52EB122,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
