diagnostic_attempt_id,paper_id,page_number,primary_page_class,repair_overlay,authoritative_text_extractor,pdf_text_chars,pdf_inspector_quality_status,poppler_quality_status,ocr_required,ocr_target_pages,render_width,render_height,render_pixel_count,render_sha256
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,20,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[20],1191,1684,2005644,8D62E09B9FFA1FEF575EE5F497BEA21CEEBAD1BA93B4932EB7BF204D0552297F
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,21,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[21],1191,1684,2005644,9A86E66B766EF63358CF1F3B24F3EB11F72DC895D6EBA8BC4ADA4FF3AFB1A7BB
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,22,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[22],1191,1684,2005644,FCDB630D910EB0624573CA065BC740E89570BE000BD0B9A8CBC552B8F51A08C1
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,23,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[23],1191,1684,2005644,41030C08AD188EBCE5B26AE2FD22C2BA70727DB16454E918AF9442BDA74B8B5C
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,24,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[24],1191,1684,2005644,82D5609128E42336D92120E895C02B92E1B628E7F1B5E208598E1A0AE5D26107
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,25,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[25],1191,1684,2005644,75FEA2743E8F207118524002F310E6AD9F2DB05406AEF6E9E66B3212FF80F601
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,26,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[26],1191,1684,2005644,951D6F2D1635DBDF4D85CFC35BD4B9C8F21B2D2B3A9A01C139E031962CD2334A
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,27,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[27],1191,1684,2005644,089BCA9F5F830D020627A8A3DC1B0B346E99D07AE9DA85B21B31DF6E9C2439EA
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,28,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[28],1191,1684,2005644,94F0781927E2225B33794D37CC8AD9685F1BFDB5DB898E451E96C88EDBE46FB2
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,29,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[29],1191,1684,2005644,14CE774141BDEE6691033F68B2FFE881153994D7396D964903292AA6D87856AA
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,30,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[30],1191,1684,2005644,EAA0D2872CF29D5BA20675DAB1FE7CE46A44B6EA30EB7DD0B85EE5A56130CA63
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,31,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[31],1191,1684,2005644,6331654AE75B5809A0F513EB44058012D0165570113C37BC8B2E1CAD52736BED
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,32,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[32],1191,1684,2005644,769A7FDC8BDA5FE902CCDD10E0D3266061794EB7382A8C9B599DEA3C8DA225CD
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,33,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[33],1191,1684,2005644,BF9199DCE10CAC6DEC3B7F2AECAE02A19FC5CBA3078FF8A03FE6654AAD795029
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,34,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[34],1191,1684,2005644,93B32E66DB6E4ECB582CE7A14206C151DA9F5E3E9852FD5E603AB06DDAB27F45
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,35,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[35],1191,1684,2005644,2E140CE09E0E4ABB113DAF61B104E232ABB8B0C34E935DABD8154CE2C8610B2B
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,36,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[36],1191,1684,2005644,B9A718811756C23DD9A01FEFA9370CA6A16C71043A4E89C75B58D7EF07AB72FD
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,37,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[37],1191,1684,2005644,ED0CBAFD1385FC30DBB70E7C666A612716657CC43D0F4CCD07A68B87AA424257
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,38,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[38],1191,1684,2005644,78D90D71CE8216A2F05A5C7890C5FB079ADCA466A0E7958BEF5696C2F7337389
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,39,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[39],1191,1684,2005644,E786DF9B0447248D82907CE1975E1819C88D90779C1ECEB340D634C4C74FD75C
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,40,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[40],1191,1684,2005644,A33BBF58BE2F44E433E70FB03BBCCB1E1261C6395E4EFDD510F8AA1B0367F5C1
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,41,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[41],1191,1684,2005644,0334C4F1055E34479DF62C109BA12535CCD07985CC22F6A5F157E28812CC8CF7
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,42,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[42],1191,1684,2005644,8F44BCD6E5E339EF0EBD0866DB184F8907D5DF292BB8019A8DE03AB8B6B5E449
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,43,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[43],1191,1684,2005644,8B51A00651C6EE1B0896B30E55F1AFD89D1CE52E4F38255A23B6AC9C09A601BA
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,44,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[44],1191,1684,2005644,3215EB2E25A95FFC7B14DE0AAC212FA670B756AF4AB15A049EE35F8C36CA2E63
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,45,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[45],1191,1684,2005644,DCE40FFB6CF551F9E8DE23FD3D628BBF0D1B94FB85654160107C0C4049958236
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,46,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[46],1191,1684,2005644,9CDE9CF48C70BE2907F4F41A1CDC8AC597286E36EEDE626AC41DFCD7B45712DF
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,47,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[47],1191,1684,2005644,90B45EF3A554ECBDF59382D6FAB7A32DD3FCB319389E8C87B74A8F8F813CD6BF
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,48,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[48],1191,1684,2005644,FA0C5661C59A99F196FF12C5C889D9676356BB298669EDD59F25DAAB395FD215
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,49,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[49],1191,1684,2005644,CAC3C8DD76BF02182BDA6F9955A1F7532432A0BFA400F43B6B6D914ED83FAEBF
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,50,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[50],1191,1684,2005644,5A4AB8CD0D381D873918A2CCEEAF504F9D45999DF04516DAB862FDF1F0017D14
