paper_id,reference_pdf_path,candidate_pdf_path,candidate_pdf_sha256,candidate_pdf_hash_expected,candidate_pdf_hash_stable,reference_page_count,candidate_page_count,page_count_match,page_class_match,ocr_route_match,reference_replay_normalized_text_sha256,candidate_replay_normalized_text_sha256,symmetric_normalized_text_match,symmetric_page_text_sha_match,differing_page_count,first_differing_page,whitespace_only_difference,control_character_only_difference,substantive_text_difference,content_sanity_contradiction
CUMCM-2011-C-002,D:\cumcm-modeling-Award-Collection\derived\scale\doc_contract_pilot_interactive\CUMCM-2011-C-002\source_converted.pdf,D:\cumcm-modeling-Award-Collection\tmp\g8_doc_converter_version_drift\16.0.20326.20112\CUMCM-2011-C-002\source_converted.pdf,055434EA7D58C53E3DAF87B3EDB3C70E08C4FFFA64139CA9984BE44CC645F727,055434EA7D58C53E3DAF87B3EDB3C70E08C4FFFA64139CA9984BE44CC645F727,1,42,42,1,1,1,3EDB1F6E4EDACC5F864FC661025354F4B529B44B5C1FD412BE69EC69CA1939E7,3EDB1F6E4EDACC5F864FC661025354F4B529B44B5C1FD412BE69EC69CA1939E7,1,1,0,,0,0,0,0
CUMCM-2013-D-001,D:\cumcm-modeling-Award-Collection\derived\scale\doc_contract_pilot_interactive\CUMCM-2013-D-001\source_converted.pdf,D:\cumcm-modeling-Award-Collection\tmp\g8_doc_converter_version_drift\16.0.20326.20112\CUMCM-2013-D-001\source_converted.pdf,2D56EA64896981E2B5BCD9F32B8D2D6B6DAEFE67456C193E1FF0FD82A742E261,2D56EA64896981E2B5BCD9F32B8D2D6B6DAEFE67456C193E1FF0FD82A742E261,1,81,81,1,1,1,744D46615498B729572264F9927F31F4795482025DC2B79B9F7AF0A7C4BCB19F,744D46615498B729572264F9927F31F4795482025DC2B79B9F7AF0A7C4BCB19F,1,1,0,,0,0,0,0
CUMCM-2014-D-003,D:\cumcm-modeling-Award-Collection\derived\scale\doc_contract_pilot_interactive\CUMCM-2014-D-003\source_converted.pdf,D:\cumcm-modeling-Award-Collection\tmp\g8_doc_converter_version_drift\16.0.20326.20112\CUMCM-2014-D-003\source_converted.pdf,2633463ACCE3C96C262436C96582085F6830ACC712CE6FD31FFE9D75547EEB69,2633463ACCE3C96C262436C96582085F6830ACC712CE6FD31FFE9D75547EEB69,1,33,33,1,1,1,7FECDE86AD4CA50CDA49759F11FAAE9F38A1CCB3F400194489230861AE1A6C89,7FECDE86AD4CA50CDA49759F11FAAE9F38A1CCB3F400194489230861AE1A6C89,1,1,0,,0,0,0,0
