paper_id,effective_pdf_sha256,logical_page_number,page_class,pdf_inspector_text_chars,poppler_text_chars,text_chars,text_sha256,evidence_source
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,3,TEXT_PAGE,531,517,531,ED2BC3CC5226FF594EA92FCAF396727ADD6065E2F0ADE97021570F64E520CA2C,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,4,TEXT_PAGE,796,784,796,5FEA31C708CE70E39DA49A2BC8825CBC693EFCA9B1EAEACDDDDDB6B2535A2973,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,5,TEXT_PAGE,746,750,746,5B5F8DE1A5E83DD1017377478C93078F26FF063DF4637F148896D21B003817FC,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,6,TEXT_PAGE,684,680,684,D5880C01C0CEECFD8C44306EEA227C3EF0827071E8BCFE3903B4FD47B9101510,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,7,TEXT_PAGE,1067,1057,1067,16579316A27DE113CE00954A061FE4784EC669F720FCA77DEDB9C6327345761F,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,8,TEXT_PAGE,709,671,709,3F5068D49E02DB2470EE1E2499CD55FB40E6CC772E47FD25DC66B0B3F5A80D8E,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,9,TEXT_PAGE,471,468,471,32715800FA4415DAFB5E288035C49579C56F8E1EA821E32F974084A103DABB65,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,10,TEXT_PAGE,677,635,677,39B6C3E3CDB82A0411D1479A9F69E26DF847198C820AAEA85CE6979C43951C22,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,11,TEXT_PAGE,677,680,677,96109770990DC047281186C4746C20772456CFB958E68771A002A072262FD0C6,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,12,TEXT_PAGE,999,1015,999,FBFE75F24BDC8BED69981296995D32EA8032548564090D384E9B6E1D429616D8,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,13,TEXT_PAGE,759,783,759,06D3A279F7B08F56FFCCC4771A44DD7104FC9B356D9DE711E71259E6D4F8FBA1,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,14,TEXT_PAGE,854,866,854,3E4D697EE483F3803EC1011BA4BF43775A86D4198EA3DC36C8168E17B8AF8748,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,15,TEXT_PAGE,752,718,752,9A9FD4A3CD92C1056E59522199B1AC8BEC94A341A95B27FE171ECE34745163D2,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,16,TEXT_PAGE,485,450,485,5EE61BBCA493697C93DD4976F1941F8CA7FDDF1335B74B398D7774454DE6CCA9,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,17,TEXT_PAGE,834,831,834,7BAE22E8588378AD86127358A2D41CD1D551B9A9C50E928DD339A17B0DA25BB4,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,18,TEXT_PAGE,783,762,783,E0EB6325A375FA6F5C020C30632CC1371B8E3774B533C81163C18D036F4115CF,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,19,TEXT_PAGE,565,513,565,DDDD422BF7550654B1F832F51A29F6FBA46666D2EBA239BA0AB244D9699B2D81,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,20,TEXT_PAGE,1056,1040,1056,BB78D2338E521AB86E63E9127A5C01135F54094305310270EA3FF8CAAC023ADD,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,21,TEXT_PAGE,1143,1127,1143,7332763419A09001A8B3C23BD5E4997C9EBACFB7D12453F1B948222F226525C1,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,22,TEXT_PAGE,666,653,666,58F6B183487AAE1D37AB609093A291377D14973E18E9A624365F01297FB72812,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,23,TEXT_PAGE,756,740,756,1A26EC690EFF63C1346731A01A748236446D0D459CD2A779F04D0A6B687955CD,REUSED
