rereview_unit_id,paper_id,original_review_unit_id,source_page,original_source_png_path,original_source_png_sha256,original_source_png_size,current_packet_dir,destination_png_path,destination_png_sha256,destination_png_size,repair_page_binding,repair_page_evidence_path,repair_page_evidence_sha256,repaired_formal_excerpt_path,shared_source_image_binding,shared_source_image_reason,binding_status,copy_sha_match
CUMCM-1993-B-001::G11-MANUAL-SAMPLE-24-PAGE-A,CUMCM-1993-B-001,G11-MANUAL-SAMPLE-24-PAGE-A,1,reports/scale/g11_manual_sample_review/24_CUMCM-1993-B-001/page_A.png,A6393D8C1ABCFF281B62D35C6F846CCBC990DDE605E2F66F5CE84A5D1DDD06A5,291629,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001/source_images/source_unit_01_p1.png,A6393D8C1ABCFF281B62D35C6F846CCBC990DDE605E2F66F5CE84A5D1DDD06A5,291629,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1993-B-001|source_page=1|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1993-B-001/source_page_1.txt,B2BB11944DBF351656B1D21E9EADA44B4251C604B9C3E6BB51B16BD6716025F2,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001/current_formal_p1.md,1,The original A/B/C review slots select the same source page; each unit still receives its own deterministic copy.,PASS,1
CUMCM-1993-B-001::G11-MANUAL-SAMPLE-24-PAGE-B,CUMCM-1993-B-001,G11-MANUAL-SAMPLE-24-PAGE-B,1,reports/scale/g11_manual_sample_review/24_CUMCM-1993-B-001/page_B.png,A6393D8C1ABCFF281B62D35C6F846CCBC990DDE605E2F66F5CE84A5D1DDD06A5,291629,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001/source_images/source_unit_02_p1.png,A6393D8C1ABCFF281B62D35C6F846CCBC990DDE605E2F66F5CE84A5D1DDD06A5,291629,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1993-B-001|source_page=1|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1993-B-001/source_page_1.txt,B2BB11944DBF351656B1D21E9EADA44B4251C604B9C3E6BB51B16BD6716025F2,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001/current_formal_p1.md,1,The original A/B/C review slots select the same source page; each unit still receives its own deterministic copy.,PASS,1
CUMCM-1993-B-001::G11-MANUAL-SAMPLE-24-PAGE-C,CUMCM-1993-B-001,G11-MANUAL-SAMPLE-24-PAGE-C,2,reports/scale/g11_manual_sample_review/24_CUMCM-1993-B-001/page_C.png,9CEDA77C3E29887B2A67727702B35D2ED5E37009D77E8B11C3C5E6076EE28673,139436,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001/source_images/source_unit_03_p2.png,9CEDA77C3E29887B2A67727702B35D2ED5E37009D77E8B11C3C5E6076EE28673,139436,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1993-B-001|source_page=2|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1993-B-001/source_page_2.txt,ED7F4A3D55C527F4D5B760B595D2AA457EB16ED2359E351FC50EFF836C230A81,reports/scale/g11_post_repair_human_rereview/05_CUMCM-1993-B-001/current_formal_p2.md,0,,PASS,1
CUMCM-1996-B-001::G11-MANUAL-SAMPLE-25-PAGE-A,CUMCM-1996-B-001,G11-MANUAL-SAMPLE-25-PAGE-A,1,reports/scale/g11_manual_sample_review/25_CUMCM-1996-B-001/page_A.png,2968C6D3C18841C3145BD3CB90520D8A9FB8ECE9C9E1FF40D1042866657E56B5,333042,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001/source_images/source_unit_01_p1.png,2968C6D3C18841C3145BD3CB90520D8A9FB8ECE9C9E1FF40D1042866657E56B5,333042,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1996-B-001|source_page=1|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1996-B-001/source_page_1.txt,59CF42EE461FA4961FC6FB06D4530812061A2E412096E63E00A4A94197A8D092,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001/current_formal_p1.md,0,,PASS,1
CUMCM-1996-B-001::G11-MANUAL-SAMPLE-25-PAGE-B,CUMCM-1996-B-001,G11-MANUAL-SAMPLE-25-PAGE-B,3,reports/scale/g11_manual_sample_review/25_CUMCM-1996-B-001/page_B.png,0356314AA2E2DEDBA1ECA72F3D2548925265B268EE2B807BE730E04BF7469B43,205865,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001/source_images/source_unit_02_p3.png,0356314AA2E2DEDBA1ECA72F3D2548925265B268EE2B807BE730E04BF7469B43,205865,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1996-B-001|source_page=3|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1996-B-001/source_page_3.txt,EBC77A051585BE278BF03BB34D45EA109A6B742E561B6EDB24F3E10389E9EC67,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001/current_formal_p3.md,0,,PASS,1
CUMCM-1996-B-001::G11-MANUAL-SAMPLE-25-PAGE-C,CUMCM-1996-B-001,G11-MANUAL-SAMPLE-25-PAGE-C,5,reports/scale/g11_manual_sample_review/25_CUMCM-1996-B-001/page_C.png,096CCBD50EB8D92D590BFFCD305A945778DEB46497C71AC2427D161639D55DA9,281525,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001/source_images/source_unit_03_p5.png,096CCBD50EB8D92D590BFFCD305A945778DEB46497C71AC2427D161639D55DA9,281525,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1996-B-001|source_page=5|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1996-B-001/source_page_5.txt,DE61E2AA2B098C579B5A1803157DFF842328B424A66ED8EBC7654D6E60EDF472,reports/scale/g11_post_repair_human_rereview/06_CUMCM-1996-B-001/current_formal_p5.md,0,,PASS,1
CUMCM-1997-A-008::G11-MANUAL-SAMPLE-26-PAGE-A,CUMCM-1997-A-008,G11-MANUAL-SAMPLE-26-PAGE-A,1,reports/scale/g11_manual_sample_review/26_CUMCM-1997-A-008/page_A.png,5DE3E52663A3E481D2DC58C15051CA23A308D56C6A3E71E617F06C826E1E9364,305251,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008/source_images/source_unit_01_p1.png,5DE3E52663A3E481D2DC58C15051CA23A308D56C6A3E71E617F06C826E1E9364,305251,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1997-A-008|source_page=1|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1997-A-008/source_page_1.txt,118D7BCBF5CFF454BC9A3F384F37754B24F64F22BE0217415C1DB0A51423D39F,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008/current_formal_p1.md,0,,PASS,1
CUMCM-1997-A-008::G11-MANUAL-SAMPLE-26-PAGE-B,CUMCM-1997-A-008,G11-MANUAL-SAMPLE-26-PAGE-B,3,reports/scale/g11_manual_sample_review/26_CUMCM-1997-A-008/page_B.png,495418B72BEF7A88F0704200C32A2446308AA82974BA9215B23C7EA2089FC7D8,271008,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008/source_images/source_unit_02_p3.png,495418B72BEF7A88F0704200C32A2446308AA82974BA9215B23C7EA2089FC7D8,271008,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1997-A-008|source_page=3|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1997-A-008/source_page_3.txt,A61B8BF6F6B1241C9B9A14864882BBC71870855161DC9320F456CE65843DAD8E,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008/current_formal_p3.md,0,,PASS,1
CUMCM-1997-A-008::G11-MANUAL-SAMPLE-26-PAGE-C,CUMCM-1997-A-008,G11-MANUAL-SAMPLE-26-PAGE-C,5,reports/scale/g11_manual_sample_review/26_CUMCM-1997-A-008/page_C.png,5C322A97E7961320AD6E99EEFC38A86F63C9C4B388B9C528AB1F14B2735EB6EB,318240,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008/source_images/source_unit_03_p5.png,5C322A97E7961320AD6E99EEFC38A86F63C9C4B388B9C528AB1F14B2735EB6EB,318240,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1997-A-008|source_page=5|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1997-A-008/source_page_5.txt,2BA2C0A097258B34487AD62E09243E2EF78C49924C5C2DFDE62723344857A3A9,reports/scale/g11_post_repair_human_rereview/07_CUMCM-1997-A-008/current_formal_p5.md,0,,PASS,1
CUMCM-1998-A-007::G11-MANUAL-SAMPLE-27-PAGE-A,CUMCM-1998-A-007,G11-MANUAL-SAMPLE-27-PAGE-A,1,reports/scale/g11_manual_sample_review/27_CUMCM-1998-A-007/page_A.png,FDD98168D4041CEC45C28A1E8DF12F20A514B5125E50721E84D68647F1D10E52,268187,reports/scale/g11_post_repair_human_rereview/08_CUMCM-1998-A-007,reports/scale/g11_post_repair_human_rereview/08_CUMCM-1998-A-007/source_images/source_unit_01_p1.png,FDD98168D4041CEC45C28A1E8DF12F20A514B5125E50721E84D68647F1D10E52,268187,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1998-A-007|source_page=1|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1998-A-007/source_page_1.txt,249287DA407FB54A58993E32C036BD776D0F892780A47A2FA04123CF6F474260,reports/scale/g11_post_repair_human_rereview/08_CUMCM-1998-A-007/current_formal_p1.md,0,,PASS,1
CUMCM-1998-A-007::G11-MANUAL-SAMPLE-27-PAGE-B,CUMCM-1998-A-007,G11-MANUAL-SAMPLE-27-PAGE-B,3,reports/scale/g11_manual_sample_review/27_CUMCM-1998-A-007/page_B.png,E8737512ACF6FC22552036EA279E0DA3AC36711731FB13F3B35E7263900906DE,284848,reports/scale/g11_post_repair_human_rereview/08_CUMCM-1998-A-007,reports/scale/g11_post_repair_human_rereview/08_CUMCM-1998-A-007/source_images/source_unit_02_p3.png,E8737512ACF6FC22552036EA279E0DA3AC36711731FB13F3B35E7263900906DE,284848,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1998-A-007|source_page=3|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1998-A-007/source_page_3.txt,9CC3C5AF9991A69DA85B45DE938701665CEEE5FA5580AC81D166957C64FA6DC4,reports/scale/g11_post_repair_human_rereview/08_CUMCM-1998-A-007/current_formal_p3.md,0,,PASS,1
