year,metric,counting_scope,corpus,present_n,absent_n,eligible_n,unknown_n,excluded_n
1999,abstract,award_paper logical documents,award_paper_patterns,14,0,14,0,0
1999,model_assumptions,award_paper logical documents,award_paper_patterns,11,2,13,1,0
1999,symbol_definitions,award_paper logical documents,award_paper_patterns,3,10,13,1,0
1999,model_validation,award_paper logical documents,award_paper_patterns,9,4,13,1,0
1999,sensitivity_analysis,award_paper logical documents,award_paper_patterns,5,8,13,1,0
1999,error_analysis,award_paper logical documents,award_paper_patterns,1,12,13,1,0
1999,final_solution,award_paper logical documents,award_paper_patterns,12,1,13,1,0
1999,final_answer_summary_table,award_paper logical documents,award_paper_patterns,5,8,13,1,0
1999,flowchart,award_paper logical documents,award_paper_patterns,2,11,13,1,0
1999,visualization,award_paper logical documents,award_paper_patterns,11,2,13,1,0
1999,references,award_paper logical documents,award_paper_patterns,10,3,13,1,0
1999,appendix,award_paper logical documents,award_paper_patterns,2,11,13,1,0
1999,code_description,award_paper logical documents,award_paper_patterns,3,10,13,1,0
1999,physical_carriers,physical carriers,all,17,,17,0,0
1999,logical_documents,all verified logical documents,all,22,,22,0,0
1999,award_papers,verified roles,all,14,,14,0,0
1999,expert_commentaries,verified roles,all,3,,3,0,0
1999,problem_statements,canonical unique problems,all,3,,3,0,0
1999,other_related,adjacent complete notices,all,2,,2,0,0
1999,solution_lineages,award paper lineages,all,14,,14,0,0
1999,representations,carrier-document representations including partial copies,all,38,,38,0,0
1999,same_page_boundaries,carrier-local verified transitions,all,20,,20,0,0
1999,reviewer_feedback_items,verified explicit/synthesized feedback,all,13,,13,0,0
1999,visualization_items,cataloged high-value visuals,all,17,,17,0,0
