scope,physical_carriers,logical_documents,representations,segments,solution_papers,problem_statements,datasets,commentaries,paper_image_pages
ALL,754,37,41,769,17,5,14,1,729
A,137,8,8,141,3,1,4,0,132
B,161,7,7,162,4,1,2,0,158
C,230,9,9,236,4,1,4,0,225
D,88,4,4,89,3,1,0,0,87
E,136,8,12,135,3,1,4,0,127
