year,scope,problem,physical_carriers,logical_documents,solution_papers,problem_statements,datasets,commentaries,representations,pdf_pages,expert_feedback_status,award_level_status
2018,year,ALL,27,27,13,4,8,2,27,544,not_observed,unknown
2018,problem,A,5,6,3,1,2,0,6,102,not_observed,unknown
2018,problem,B,10,10,4,1,5,0,10,229,not_observed,unknown
2018,problem,C,5,5,3,1,0,1,5,84,not_observed,unknown
2018,problem,D,5,5,3,1,1,0,5,129,not_observed,unknown
