source_id,path,source_type,source_identifier,acquisition_date,notes,created_at
SRC-DFA06891,2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文E题E014/8122239.jpg,original_archive,E014,unknown,Added by G3-01R5 for source metadata completeness,2026-08-18T18:28:10+08:00
SRC-493F17CA,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文C题-C283/C1.jpg,original_archive,C283,unknown,Added by G3-01R5 for source metadata completeness,2026-08-18T18:28:10+08:00
SRC-E4B7ADA7,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文D题-D034/D1.jpg,original_archive,D034,unknown,Added by G3-01R5 for source metadata completeness,2026-08-18T18:28:10+08:00
SRC-C2006CC9,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文B题-B106/B1.jpg,original_archive,B106,unknown,Added by G3-01R5 for source metadata completeness,2026-08-18T18:28:10+08:00
SRC-733C555A,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文C题-C169/C1.jpg,original_archive,C169,unknown,Added by G3-01R5 for source metadata completeness,2026-08-18T18:28:10+08:00
SRC-9C14EAB1,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,original_archive,A066,unknown,,2026-08-21T01:41:51+08:00
SRC-B5FB5FE4,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A196.pdf,original_archive,A196,unknown,,2026-08-21T01:41:51+08:00
SRC-17C1B7E2,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/B060.pdf,original_archive,B060,unknown,,2026-08-21T01:41:51+08:00
SRC-515FD730,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C023.pdf,original_archive,C023,unknown,,2026-08-21T01:41:51+08:00
SRC-08EC307C,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C132.pdf,original_archive,C132,unknown,,2026-08-21T01:41:51+08:00
SRC-BDBED46F,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/D037.pdf,original_archive,D037,unknown,,2026-08-21T01:41:51+08:00
SRC-7270DACA,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/E030.pdf,original_archive,E030,unknown,,2026-08-21T01:41:51+08:00
