archive_parent,boundary_candidates,carrier_document_id,carrier_type,classification_confidence,contains_multiple_articles,existing_cache_status,file_size,file_type,filename,image_count,needs_ocr,needs_segmentation,page_count,possible_duplicate_carriers,preclassified_role,quality_warnings,relative_path,same_page_boundary_candidates,source_file_ids,text_layer_status,toc_present,year
,pending,carrier_31a66152970884c1,pdf,0.91,False,unknown,260803,pdf,1995A：空中防撞系统的设计.pdf,unknown,unknown,False,2,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：空中防撞系统的设计.pdf,pending,"[""file_31a66152970884c1""]",see_pdf_manifest,unknown,1995
,pending,carrier_f79109fd86a72341,pdf,0.91,False,unknown,414166,pdf,1995A：飞行管理模型的线性化处理方法.pdf,unknown,unknown,False,4,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,pending,"[""file_f79109fd86a72341""]",see_pdf_manifest,unknown,1995
,pending,carrier_2bcd8ef6c89b9f6d,pdf,0.91,False,unknown,525454,pdf,1995A：飞行管理模型的能量梯度求解法.pdf,unknown,unknown,False,5,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的能量梯度求解法.pdf,pending,"[""file_2bcd8ef6c89b9f6d""]",see_pdf_manifest,unknown,1995
,pending,carrier_21fdfbff0d98087a,pdf,0.91,False,unknown,942596,pdf,1995A：飞行管理问题的实时算法.pdf,unknown,unknown,False,9,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的实时算法.pdf,pending,"[""file_21fdfbff0d98087a""]",see_pdf_manifest,unknown,1995
,pending,carrier_a204cb51d47806b0,pdf,0.91,False,unknown,585012,pdf,1995A：飞行管理问题的线性规划模型.pdf,unknown,unknown,False,6,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的线性规划模型.pdf,pending,"[""file_a204cb51d47806b0""]",see_pdf_manifest,unknown,1995
,pending,carrier_61e2da1e42f7d92b,pdf,0.91,False,unknown,282135,pdf,1995A：飞行管理问题的逐步逼近搜索方法.pdf,unknown,unknown,False,2,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的逐步逼近搜索方法.pdf,pending,"[""file_61e2da1e42f7d92b""]",see_pdf_manifest,unknown,1995
,pending,carrier_d90a338e10740908,pdf,0.94,False,unknown,273249,pdf,1995A：飞行管理问题答卷评述.pdf,unknown,unknown,False,2,[],expert_commentary,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题答卷评述.pdf,pending,"[""file_d90a338e10740908""]",see_pdf_manifest,unknown,1995
,pending,carrier_898df420c7776af7,pdf,0.91,False,unknown,326765,pdf,1995A：飞行管理问题约束条件的线性化.pdf,unknown,unknown,False,3,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题约束条件的线性化.pdf,pending,"[""file_898df420c7776af7""]",see_pdf_manifest,unknown,1995
,pending,carrier_e04009714818e863,pdf,0.9,False,unknown,176072,pdf,1995B：冶炼车间的最优调度模型的检验.pdf,unknown,unknown,False,2,[],solution_summary,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：冶炼车间的最优调度模型的检验.pdf,pending,"[""file_e04009714818e863""]",see_pdf_manifest,unknown,1995
,pending,carrier_1f4c61e041a1939d,pdf,0.91,False,unknown,530860,pdf,1995B：天车与冶炼炉作业调度的Petri网模型.pdf,unknown,unknown,False,5,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉作业调度的Petri网模型.pdf,pending,"[""file_1f4c61e041a1939d""]",see_pdf_manifest,unknown,1995
,pending,carrier_429f47b3c87e389a,pdf,0.91,False,unknown,607493,pdf,1995B：天车与冶炼炉的作业调度.pdf,unknown,unknown,False,4,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的作业调度.pdf,pending,"[""file_429f47b3c87e389a""]",see_pdf_manifest,unknown,1995
,pending,carrier_e851d368e3f03eaa,pdf,0.91,False,unknown,301905,pdf,1995B：天车与冶炼炉的作业调度模型.pdf,unknown,unknown,False,3,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的作业调度模型.pdf,pending,"[""file_e851d368e3f03eaa""]",see_pdf_manifest,unknown,1995
,pending,carrier_d504464ededf4ded,pdf,0.91,False,unknown,573630,pdf,1995B：天车与冶炼炉的操作模型.pdf,unknown,unknown,False,10,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的操作模型.pdf,pending,"[""file_d504464ededf4ded""]",see_pdf_manifest,unknown,1995
,pending,carrier_5134292d22609876,pdf,0.91,False,unknown,225641,pdf,1995B：天车作业调度的随机性分析.pdf,unknown,unknown,False,3,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车作业调度的随机性分析.pdf,pending,"[""file_5134292d22609876""]",see_pdf_manifest,unknown,1995
,pending,carrier_777d593994e91857,pdf,0.91,False,unknown,341967,pdf,1995B：天车冶炼炉作业调度的活动网络模型.pdf,unknown,unknown,False,3,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车冶炼炉作业调度的活动网络模型.pdf,pending,"[""file_777d593994e91857""]",see_pdf_manifest,unknown,1995
,pending,carrier_1aeacf08456ed8cd,pdf,0.91,False,unknown,567838,pdf,1995年国赛赛题.pdf,unknown,unknown,False,2,[],problem_statement,automatic preflight only,1995年数学建模国赛真题+优秀论文/1995年国赛赛题/1995年国赛赛题.pdf,pending,"[""file_1aeacf08456ed8cd""]",see_pdf_manifest,unknown,1995
