archive_parent,boundary_candidates,carrier_document_id,carrier_type,classification_confidence,contains_multiple_articles,existing_cache_status,file_size,file_type,filename,image_count,needs_ocr,needs_segmentation,page_count,possible_duplicate_carriers,preclassified_role,quality_warnings,relative_path,same_page_boundary_candidates,source_file_ids,text_layer_status,toc_present,year
,pending,carrier_5b52a641d99d7491,pdf,0.91,False,unknown,576352,pdf,1996A：持续高产捕鱼策略.pdf,unknown,unknown,False,8,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：持续高产捕鱼策略.pdf,pending,"[""file_5b52a641d99d7491""]",see_pdf_manifest,unknown,1996
,pending,carrier_0b39f6d92524cf04,pdf,0.91,False,unknown,493438,pdf,1996A：最优捕鱼模型.pdf,unknown,unknown,False,4,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼模型.pdf,pending,"[""file_0b39f6d92524cf04""]",see_pdf_manifest,unknown,1996
,pending,carrier_0d36b8860b728b62,pdf,0.91,False,unknown,284931,pdf,1996A：最优捕鱼策略.pdf,unknown,unknown,False,4,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略.pdf,pending,"[""file_0d36b8860b728b62""]",see_pdf_manifest,unknown,1996
,pending,carrier_1913f7c900616854,pdf,0.91,False,unknown,869257,pdf,1996A：最优捕鱼策略模型.pdf,unknown,unknown,False,8,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略模型.pdf,pending,"[""file_1913f7c900616854""]",see_pdf_manifest,unknown,1996
,pending,carrier_eff53efa267110ed,pdf,0.91,False,unknown,777299,pdf,1996A：最优捕鱼策略的设计.pdf,unknown,unknown,False,7,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略的设计.pdf,pending,"[""file_eff53efa267110ed""]",see_pdf_manifest,unknown,1996
,pending,carrier_0015ebc21dcf330c,pdf,0.91,False,unknown,639759,pdf,1996A：最优捕鱼策略问题.pdf,unknown,unknown,False,6,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略问题.pdf,pending,"[""file_0015ebc21dcf330c""]",see_pdf_manifest,unknown,1996
,pending,carrier_191626d57d89ccae,pdf,0.94,False,unknown,451476,pdf,1996A：最优捕鱼策略问题答卷评述.pdf,unknown,unknown,False,3,[],expert_commentary,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略问题答卷评述.pdf,pending,"[""file_191626d57d89ccae""]",see_pdf_manifest,unknown,1996
,pending,carrier_d8e93cf32bd57e17,pdf,0.91,False,unknown,289572,pdf,1996A：最佳捕鱼策略的数学模型.pdf,unknown,unknown,False,4,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最佳捕鱼策略的数学模型.pdf,pending,"[""file_d8e93cf32bd57e17""]",see_pdf_manifest,unknown,1996
,pending,carrier_fc3e647affa8c659,pdf,0.91,False,unknown,388740,pdf,1996B：关于洗衣机节水的数学模型.pdf,unknown,unknown,False,5,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：关于洗衣机节水的数学模型.pdf,pending,"[""file_fc3e647affa8c659""]",see_pdf_manifest,unknown,1996
,pending,carrier_cef5eeea8a2e8966,pdf,0.91,False,unknown,529813,pdf,1996B：洗衣机的节水优化模型.pdf,unknown,unknown,False,5,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：洗衣机的节水优化模型.pdf,pending,"[""file_cef5eeea8a2e8966""]",see_pdf_manifest,unknown,1996
,pending,carrier_17ef77a894a42798,pdf,0.91,False,unknown,569905,pdf,1996B：洗衣机的节水程序设计.pdf,unknown,unknown,False,11,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：洗衣机的节水程序设计.pdf,pending,"[""file_17ef77a894a42798""]",see_pdf_manifest,unknown,1996
,pending,carrier_8a6ebc2c5325c27f,pdf,0.91,False,unknown,293700,pdf,1996B：节水洗衣机的设计.pdf,unknown,unknown,False,4,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,pending,"[""file_8a6ebc2c5325c27f""]",see_pdf_manifest,unknown,1996
,pending,carrier_6e1e0aac01f4a252,pdf,0.94,False,unknown,568507,pdf,1996B：节水洗衣机问题数学建模及若干评注.pdf,unknown,unknown,False,5,[],expert_commentary,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,pending,"[""file_6e1e0aac01f4a252""]",see_pdf_manifest,unknown,1996
,pending,carrier_6dfbd1eb2121d140,pdf,0.91,False,unknown,245767,pdf,1996年国赛赛题.pdf,unknown,unknown,False,1,[],problem_statement,automatic preflight only,1996年数学建模国赛真题+优秀论文/1996年国赛赛题/1996年国赛赛题.pdf,pending,"[""file_6dfbd1eb2121d140""]",see_pdf_manifest,unknown,1996
