paper_id,source_page,api_page_index,api_call_mode,text_chars,text_nonempty,needs_ocr_if_available,verified_blank_page,status
CUMCM-2025-A-A066,71,70,extract_text_in_regions_full_page,1188,1,0,0,PASS
CUMCM-2025-A-A066,72,71,extract_text_in_regions_full_page,1061,1,0,0,PASS
CUMCM-2025-A-A066,73,72,extract_text_in_regions_full_page,1014,1,0,0,PASS
CUMCM-2025-A-A066,74,73,extract_text_in_regions_full_page,1249,1,0,0,PASS
CUMCM-2025-A-A066,75,74,extract_text_in_regions_full_page,1239,1,0,0,PASS
CUMCM-2025-A-A066,76,75,extract_text_in_regions_full_page,1303,1,0,0,PASS
CUMCM-2025-A-A066,77,76,extract_text_in_regions_full_page,791,1,0,0,PASS
CUMCM-2025-A-A066,78,77,extract_text_in_regions_full_page,1004,1,0,0,PASS
CUMCM-2025-A-A066,79,78,extract_text_in_regions_full_page,972,1,0,0,PASS
CUMCM-2025-A-A066,80,79,extract_text_in_regions_full_page,962,1,0,0,PASS
CUMCM-2025-A-A066,81,80,extract_text_in_regions_full_page,963,1,0,0,PASS
CUMCM-2025-A-A066,82,81,extract_text_in_regions_full_page,1011,1,0,0,PASS
CUMCM-2025-A-A066,83,82,extract_text_in_regions_full_page,944,1,0,0,PASS
CUMCM-2025-A-A066,84,83,extract_text_in_regions_full_page,917,1,0,0,PASS
CUMCM-2025-A-A066,85,84,extract_text_in_regions_full_page,1260,1,0,0,PASS
CUMCM-2025-A-A066,86,85,extract_text_in_regions_full_page,77,1,0,0,PASS
CUMCM-2025-A-A196,1,0,extract_text_in_regions_full_page,2400,1,0,0,PASS
CUMCM-2025-A-A196,2,1,extract_text_in_regions_full_page,1189,1,0,0,PASS
CUMCM-2025-A-A196,3,2,extract_text_in_regions_full_page,1365,1,0,0,PASS
CUMCM-2025-A-A196,4,3,extract_text_in_regions_full_page,1073,1,0,0,PASS
CUMCM-2025-A-A196,5,4,extract_text_in_regions_full_page,947,1,0,0,PASS
CUMCM-2025-A-A196,6,5,extract_text_in_regions_full_page,1444,1,0,0,PASS
CUMCM-2025-A-A196,7,6,extract_text_in_regions_full_page,1415,1,0,0,PASS
CUMCM-2025-A-A196,8,7,extract_text_in_regions_full_page,731,1,0,0,PASS
CUMCM-2025-A-A196,9,8,extract_text_in_regions_full_page,1578,1,0,0,PASS
CUMCM-2025-A-A196,10,9,extract_text_in_regions_full_page,1331,1,0,0,PASS
CUMCM-2025-A-A196,11,10,extract_text_in_regions_full_page,1300,1,0,0,PASS
CUMCM-2025-A-A196,12,11,extract_text_in_regions_full_page,1660,1,0,0,PASS
CUMCM-2025-A-A196,13,12,extract_text_in_regions_full_page,926,1,0,0,PASS
CUMCM-2025-A-A196,14,13,extract_text_in_regions_full_page,1761,1,0,0,PASS
CUMCM-2025-A-A196,15,14,extract_text_in_regions_full_page,1163,1,0,0,PASS
CUMCM-2025-A-A196,16,15,extract_text_in_regions_full_page,1630,1,0,0,PASS
CUMCM-2025-A-A196,17,16,extract_text_in_regions_full_page,1306,1,0,0,PASS
CUMCM-2025-A-A196,18,17,extract_text_in_regions_full_page,1398,1,0,0,PASS
CUMCM-2025-A-A196,19,18,extract_text_in_regions_full_page,1502,1,0,0,PASS
CUMCM-2025-A-A196,20,19,extract_text_in_regions_full_page,1627,1,0,0,PASS
CUMCM-2025-A-A196,21,20,extract_text_in_regions_full_page,1322,1,0,0,PASS
CUMCM-2025-A-A196,22,21,extract_text_in_regions_full_page,1047,1,0,0,PASS
CUMCM-2025-A-A196,23,22,extract_text_in_regions_full_page,864,1,0,0,PASS
CUMCM-2025-A-A196,24,23,extract_text_in_regions_full_page,1803,1,0,0,PASS
CUMCM-2025-A-A196,25,24,extract_text_in_regions_full_page,998,1,0,0,PASS
CUMCM-2025-A-A196,26,25,extract_text_in_regions_full_page,1514,1,0,0,PASS
CUMCM-2025-A-A196,27,26,extract_text_in_regions_full_page,1240,1,0,0,PASS
CUMCM-2025-A-A196,28,27,extract_text_in_regions_full_page,1738,1,0,0,PASS
CUMCM-2025-A-A196,29,28,extract_text_in_regions_full_page,1513,1,0,0,PASS
CUMCM-2025-A-A196,30,29,extract_text_in_regions_full_page,1073,1,0,0,PASS
CUMCM-2025-A-A196,31,30,extract_text_in_regions_full_page,1087,1,0,0,PASS
CUMCM-2025-A-A196,32,31,extract_text_in_regions_full_page,1599,1,0,0,PASS
CUMCM-2025-A-A196,33,32,extract_text_in_regions_full_page,1589,1,0,0,PASS
CUMCM-2025-A-A196,34,33,extract_text_in_regions_full_page,466,1,0,0,PASS
CUMCM-2025-A-A196,35,34,extract_text_in_regions_full_page,753,1,0,0,PASS
CUMCM-2025-A-A196,36,35,extract_text_in_regions_full_page,1120,1,0,0,PASS
CUMCM-2025-A-A196,37,36,extract_text_in_regions_full_page,1131,1,0,0,PASS
CUMCM-2025-A-A196,38,37,extract_text_in_regions_full_page,1134,1,0,0,PASS
CUMCM-2025-A-A196,39,38,extract_text_in_regions_full_page,974,1,0,0,PASS
CUMCM-2025-A-A196,40,39,extract_text_in_regions_full_page,1105,1,0,0,PASS
CUMCM-2025-A-A196,41,40,extract_text_in_regions_full_page,1139,1,0,0,PASS
