paper_id,source_page,original_file_path,original_sha256,readable_file_path,readable_sha256,pdf_inspector_page_chars,poppler_page_chars,pdf_inspector_status,poppler_status,verified_blank_page,final_page_class,classification_evidence,status
CUMCM-2025-A-A066,13,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,645,630,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=13 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,14,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,889,900,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=14 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,15,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,828,859,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=15 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,16,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1056,1063,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=16 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,17,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1216,1146,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=17 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,18,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,935,907,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=18 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,19,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,887,934,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=19 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,20,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1351,1391,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=20 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,21,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,836,878,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=21 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,22,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,657,723,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=22 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,23,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,361,409,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=23 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,24,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,718,716,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=24 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,25,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,803,840,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=25 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,26,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1247,1193,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=26 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,27,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1294,1381,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=27 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,28,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1300,1361,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=28 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,29,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,973,952,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=29 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,30,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1252,1309,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=30 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,31,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1380,1361,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=31 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,32,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1151,1334,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=32 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,33,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1622,1659,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=33 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,34,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,563,570,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=34 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,35,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,812,817,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=35 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,36,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,881,893,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=36 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,37,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,935,944,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=37 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,38,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,723,730,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=38 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,39,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,772,794,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=39 uses 1-based numbering.,PASS
