paper_id,artifact_type,artifact_path,artifact_sha256,subject_type,artifact_eligible,source_map_version,extraction_contract_version,status
CUMCM-2015-B-002,paper.md,derived/pilot/papers/CUMCM-2015-B-002/paper.md,61BE263C8EF406AC0CC3F5C74C1FEFB24EA16B1B9AD32269C201286FA08D7A0E,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-B-003,knowledge_card.md,derived/pilot/papers/CUMCM-2015-B-003/knowledge_card.md,DE64C8B2033F55B2D7489162DC3287237B1156BC850FA80B3E1B390138B01DFE,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-B-003,metadata.yaml,derived/pilot/papers/CUMCM-2015-B-003/metadata.yaml,33C990263DECEBC849C042FA7199E33BA881F9826D4116F3194B4C7797791110,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-B-003,paper.md,derived/pilot/papers/CUMCM-2015-B-003/paper.md,8ED5DA46E0B4190F862F3BFF6560F70CFC8277D29BB3652179EEB25CB95B8F1B,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-B-004,knowledge_card.md,derived/pilot/papers/CUMCM-2015-B-004/knowledge_card.md,120C9990BDD023EBB2C18EE09A8CDEBEEE919396465191194B33AFDA37AA053B,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-B-004,metadata.yaml,derived/pilot/papers/CUMCM-2015-B-004/metadata.yaml,C21C5F7850B1D96D6AB4B55DFCB35C6982B8EFB576BE2E94E8A3B2DD19613217,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-B-004,paper.md,derived/pilot/papers/CUMCM-2015-B-004/paper.md,1850D9A4207DE35CD99C1982CC2B111C4E848F0D97A4A0EE8E734883FF938A07,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-B-006,knowledge_card.md,derived/pilot/papers/CUMCM-2015-B-006/knowledge_card.md,4B832F5C385F758AF088141F9DEAFDB75263E3B99A85D1032748179D2953D568,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-B-006,metadata.yaml,derived/pilot/papers/CUMCM-2015-B-006/metadata.yaml,8C05E60A959D0D70BC065D84FD8E08933FD78E27AC850B3B7B47DC9D2079765C,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-B-006,paper.md,derived/pilot/papers/CUMCM-2015-B-006/paper.md,90EB1C712E4E1522A471960A67B0991DFCB0E72782BB6E47AA296222628672B1,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-C-002,knowledge_card.md,derived/pilot/papers/CUMCM-2015-C-002/knowledge_card.md,C219194AC469AE904C89EAA166C87D555ADC3CEE203DEA149F60121472C7C31E,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-C-002,metadata.yaml,derived/pilot/papers/CUMCM-2015-C-002/metadata.yaml,9546D641009A0C3B0BEAA0ED8670A0370906E151DD12FCCFC268520CF5FFC0C7,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-C-002,paper.md,derived/pilot/papers/CUMCM-2015-C-002/paper.md,53071718F51DB3517E167AB97FC844729A4300D4756E3FABB011D3582D37BF62,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-C-005,knowledge_card.md,derived/pilot/papers/CUMCM-2015-C-005/knowledge_card.md,594833E8CE3B0A0B7D253B51B8DCCDB981727F413C82A17896060C27FD6A3BB1,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-C-005,metadata.yaml,derived/pilot/papers/CUMCM-2015-C-005/metadata.yaml,2C847CC4AFBD7D02445CC6152BFBB82CB446E6EBCA89D0C5BD171BE115F4583D,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-C-005,paper.md,derived/pilot/papers/CUMCM-2015-C-005/paper.md,17E37506C59C9A5E21CABBCD73B30C4EDD37AB2FD0DF768F1C2F4D3C65EAB640,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-D-003,knowledge_card.md,derived/pilot/papers/CUMCM-2015-D-003/knowledge_card.md,FF5884EDD3D6C1ECFC42613470A0D9F5D43B7692FDA9EA07178C7BADC1B4C474,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-D-003,metadata.yaml,derived/pilot/papers/CUMCM-2015-D-003/metadata.yaml,6F838ABB1D8AF6633D910ABA2BE2D0B90809536F3B300B4D926C025DE6071CCF,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2015-D-003,paper.md,derived/pilot/papers/CUMCM-2015-D-003/paper.md,F06C11DB75B4847263C6F33B84B4C9E1D369D9D1753F24DED03E3863B35B4614,PAPER,1,g6_file_source_map.csv,1,PASS
