paper_id,artifact_type,artifact_path,artifact_exists,artifact_sha_match,parse_readability_valid,owner_valid,manifest_valid,status
CUMCM-2025-A-A196,paper.md,derived/pilot/papers/CUMCM-2025-A-A196/paper.md,1,1,1,1,1,PASS
CUMCM-2025-A-A196,metadata.yaml,derived/pilot/papers/CUMCM-2025-A-A196/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2025-A-A196,knowledge_card.md,derived/pilot/papers/CUMCM-2025-A-A196/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2025-B-B060,paper.md,derived/pilot/papers/CUMCM-2025-B-B060/paper.md,1,1,1,1,1,PASS
CUMCM-2025-B-B060,metadata.yaml,derived/pilot/papers/CUMCM-2025-B-B060/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2025-B-B060,knowledge_card.md,derived/pilot/papers/CUMCM-2025-B-B060/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2025-C-C023,paper.md,derived/pilot/papers/CUMCM-2025-C-C023/paper.md,1,1,1,1,1,PASS
CUMCM-2025-C-C023,metadata.yaml,derived/pilot/papers/CUMCM-2025-C-C023/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2025-C-C023,knowledge_card.md,derived/pilot/papers/CUMCM-2025-C-C023/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2025-C-C132,paper.md,derived/pilot/papers/CUMCM-2025-C-C132/paper.md,1,1,1,1,1,PASS
CUMCM-2025-C-C132,metadata.yaml,derived/pilot/papers/CUMCM-2025-C-C132/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2025-C-C132,knowledge_card.md,derived/pilot/papers/CUMCM-2025-C-C132/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2025-D-D037,paper.md,derived/pilot/papers/CUMCM-2025-D-D037/paper.md,1,1,1,1,1,PASS
CUMCM-2025-D-D037,metadata.yaml,derived/pilot/papers/CUMCM-2025-D-D037/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2025-D-D037,knowledge_card.md,derived/pilot/papers/CUMCM-2025-D-D037/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2025-E-E030,paper.md,derived/pilot/papers/CUMCM-2025-E-E030/paper.md,1,1,1,1,1,PASS
CUMCM-2025-E-E030,metadata.yaml,derived/pilot/papers/CUMCM-2025-E-E030/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2025-E-E030,knowledge_card.md,derived/pilot/papers/CUMCM-2025-E-E030/knowledge_card.md,1,1,1,1,1,PASS
